Electorate,division_key,LegacyWinner,LegacyRunnerUp,LegacyFinalTwo,LegacyWinnerShare,LegacyEliminationOrder,DirectWinner,DirectRunnerUp,DirectFinalTwo,DirectWinnerShare,DirectEliminationOrder,CanonicalWinner,CanonicalRunnerUp,CanonicalFinalTwo,CanonicalWinnerShare,CanonicalEliminationOrder,ActualWinner,ActualRunnerUp,ActualFinalTwo,ActualWinnerShare,WinnerChanged,FinalTwoChanged,EliminationOrderChanged,WinnerShareDeltaPP,LegacyWinnerMatchedActual,DirectWinnerMatchedActual,CanonicalWinnerMatchedActual,LegacyFinalTwoMatchedActual,DirectFinalTwoMatchedActual,CanonicalFinalTwoMatchedActual,LegacyAbsoluteWinnerErrorPP,DirectAbsoluteWinnerErrorPP,CanonicalAbsoluteWinnerErrorPP,AbsoluteErrorChangePP,ReviewPriority
Blair,BLAIR,ON,ALP,ALP+ON,0.5243976063525971,GRN>OTH>LNP,ON,ALP,ALP+ON,0.5256549087911774,GRN>OTH>LNP,ON,ALP,ALP+ON,0.5236328434723251,GRN>OTH>LNP,ON,ALP,ALP+ON,52.5598,False,False,False,-0.07647628802720519,True,True,True,True,True,True,0.12003936474028754,0.005690879117736802,0.19651565276749272,0.07647628802720519,LOW
Eden-Monaro,EDEN-MONARO,ALP,ON,ALP+ON,0.5290847685591082,IND>OTH>GRN>LNP,ALP,ON,ALP+ON,0.528616484786172,IND>OTH>GRN>LNP,ALP,ON,ALP+ON,0.5283346572767885,IND>OTH>GRN>LNP,ALP,ON,ALP+ON,53.9163,False,False,False,-0.07501112823197209,True,True,True,True,True,True,1.0078231440891705,1.054651521382799,1.0828342723211426,0.07501112823197209,LOW
Sturt,STURT,ALP,LNP,ALP+LNP,0.547528595860255,OTH>IND>ON>GRN,ALP,LNP,ALP+LNP,0.5466658080349672,OTH>IND>ON>GRN,ALP,LNP,ALP+LNP,0.5467835869227479,OTH>IND>ON>GRN,ALP,LNP,ALP+LNP,54.7999,False,False,False,-0.07450089375071745,True,True,True,True,True,True,0.04704041397449732,0.13331919650327873,0.12154130772521476,0.07450089375071745,LOW
Dickson,DICKSON,ALP,LNP,ALP+LNP,0.524756089946262,OTH>IND>GRN>ON,ALP,LNP,ALP+LNP,0.5327906225603438,OTH>IND>GRN>ON,ALP,LNP,ALP+LNP,0.5254817819480364,OTH>IND>GRN>ON,ALP,LNP,ALP+LNP,50.5964,False,False,False,0.0725692001774414,True,True,True,True,True,True,1.8792089946261914,2.682662256034374,1.9517781948036328,0.0725692001774414,LOW
Hume,HUME,LNP,ON,LNP+ON,0.5436201160522958,IND>GRN>OTH>ALP,LNP,ON,LNP+ON,0.5426725422516122,IND>GRN>OTH>ALP,LNP,ON,LNP+ON,0.5443437756230713,IND>GRN>OTH>ALP,LNP,ON,LNP+ON,54.362,False,False,False,0.07236595707755811,True,True,True,True,True,True,1.1605229577327236e-05,0.09474577483877811,0.07237756230713543,0.07236595707755811,LOW
Bradfield,BRADFIELD,IND,LNP,IND+LNP,0.5016681915227641,OTH>GRN>ON>ALP,IND,LNP,IND+LNP,0.5023869915914566,OTH>GRN>ON>ALP,IND,LNP,IND+LNP,0.5023869915914566,OTH>GRN>ON>ALP,IND,LNP,IND+LNP,50.1668,False,False,False,0.07188000686925156,True,True,True,True,True,True,1.91522764092511e-05,0.07189915914566081,0.07189915914566081,0.07188000686925156,LOW
Casey,CASEY,LNP,ALP,ALP+LNP,0.5438016335953936,OTH>IND>GRN>ON,LNP,ALP,ALP+LNP,0.5504360065658763,OTH>IND>GRN>ON,LNP,ALP,ALP+LNP,0.5431015275218753,OTH>IND>GRN>ON,LNP,ALP,ALP+LNP,54.3802,False,False,False,-0.07001060735182252,True,True,True,True,True,True,3.6640460643333483e-05,0.6634006565876316,0.07004724781246585,0.07001060735182252,LOW
Newcastle,NEWCASTLE,ALP,GRN,ALP+GRN,0.5859741910108156,OTH>LNP>ON,ALP,ON,ALP+ON,0.7111050146292539,OTH>LNP>GRN,ALP,GRN,ALP+GRN,0.5866582874305579,OTH>LNP>ON,ALP,GRN,ALP+GRN,58.5974,False,False,False,0.06840964197423194,True,True,True,True,False,True,1.910108156089052e-05,12.513101462925391,0.06842874305579283,0.06840964197423194,LOW
Jagajaga,JAGAJAGA,ALP,LNP,ALP+LNP,0.6260587558844163,OTH>IND>ON>GRN,ALP,LNP,ALP+LNP,0.6254258020571644,OTH>IND>ON>GRN,ALP,LNP,ALP+LNP,0.6254258020571644,OTH>IND>ON>GRN,ALP,LNP,ALP+LNP,62.6059,False,False,False,-0.06329538272519253,True,True,True,True,True,True,2.4411558374737297e-05,0.06331979428356727,0.06331979428356727,0.06329538272519253,LOW
Richmond,RICHMOND,GRN,ON,GRN+ON,0.6462146373032229,OTH>LNP>ALP,GRN,ALP,ALP+GRN,0.5255311764190906,OTH>LNP>ON,GRN,ON,GRN+ON,0.6468211545985927,OTH>LNP>ALP,GRN,ON,GRN+ON,64.6215,False,False,False,0.06065172953697573,True,True,True,True,False,True,3.626967770564704e-05,12.068382358090934,0.06061545985927008,0.060579190181564435,LOW
