,,,,,ScenarioKey,ScenarioTotal,ScenarioShare,Share
,,,,,ALP|GRN|IND|LNP|ON → GRN | OTH,7.299046719,0.01030458882,0.01030458882
,,,,,ALP|GRN|IND|LNP|ON → GRN | OTH,7.299046719,0.03844661075,0.03844661075
,,,,,ALP|GRN|IND|LNP|ON → GRN | OTH,7.299046719,0.01413640171,0.01413640171
,,,,,ALP|GRN|IND|LNP|ON → GRN | OTH,7.299046719,0.01112047015,0.01112047015
,,,,,ALP|GRN|IND|LNP|ON → GRN | OTH,7.299046719,0.009313525511,0.009313525511
,,,,,ALP|GRN|IND|LNP|ON → GRN | OTH,7.299046719,0.01349348138,0.01349348138
,,,,,ALP|GRN|IND|LNP|ON → GRN | OTH,7.299046719,0.02071372907,0.02071372907
,,,,,ALP|GRN|IND|LNP|ON → GRN | OTH,7.299046719,0.01543837367,0.01543837367
,,,,,ALP|GRN|IND|LNP|ON → GRN | OTH,7.299046719,0.05147098066,0.05147098066
,,,,,ALP|GRN|IND|LNP|ON → GRN | OTH,7.299046719,0.01125631139,0.01125631139
,,,,,ALP|GRN|IND|LNP|ON → GRN | OTH,7.299046719,0.0076362103,0.0076362103
,,,,,ALP|GRN|IND|LNP|ON → GRN | OTH,7.299046719,0.03407747856,0.03407747856
,,,,,ALP|GRN|IND|LNP|ON → GRN | OTH,7.299046719,0.009876020757,0.009876020757
,,,,,ALP|GRN|IND|LNP|ON → GRN | OTH,7.299046719,0.008806843074,0.008806843074
,,,,,ALP|GRN|IND|LNP|ON → GRN | OTH,7.299046719,0.01398087388,0.01398087388
,,,,,ALP|GRN|IND|LNP|ON → GRN | OTH,7.299046719,0.01734587303,0.01734587303
,,,,,ALP|GRN|IND|LNP|ON → GRN | OTH,7.299046719,0.0128322533,0.0128322533
,,,,,ALP|GRN|IND|LNP|ON → GRN | OTH,7.299046719,0.01853137359,0.01853137359
,,,,,ALP|GRN|IND|LNP|ON → GRN | OTH,7.299046719,0.009926698232,0.009926698232
,,,,,ALP|GRN|IND|LNP|ON → GRN | OTH,7.299046719,0.01194130828,0.01194130828
,,,,,ALP|GRN|IND|LNP|ON → GRN | OTH,7.299046719,0.01666684775,0.01666684775
,,,,,ALP|GRN|IND|LNP|ON → GRN | OTH,7.299046719,0.01678955377,0.01678955377
,,,,,ALP|GRN|IND|LNP|ON → GRN | OTH,7.299046719,0.06440941458,0.06440941458
,,,,,ALP|GRN|IND|LNP|ON → GRN | OTH,7.299046719,0.007084481281,0.007084481281
,,,,,ALP|GRN|IND|LNP|ON → GRN | OTH,7.299046719,0.01394483985,0.01394483985
,,,,,ALP|GRN|IND|LNP|ON → GRN | OTH,7.299046719,0.02199152127,0.02199152127
,,,,,ALP|GRN|IND|LNP|ON → GRN | OTH,7.299046719,0.03513813686,0.03513813686
,,,,,ALP|GRN|IND|LNP|ON → GRN | OTH,7.299046719,0.007197063696,0.007197063696
,,,,,ALP|GRN|IND|LNP|ON → GRN | OTH,7.299046719,0.01855066062,0.01855066062
,,,,,ALP|GRN|IND|LNP|ON → GRN | OTH,7.299046719,0.01935479661,0.01935479661
,,,,,ALP|GRN|IND|LNP|ON → GRN | OTH,7.299046719,0.02047013782,0.02047013782
,,,,,ALP|GRN|IND|LNP|ON → GRN | OTH,7.299046719,0.02684278538,0.02684278538
,,,,,ALP|GRN|IND|LNP|ON → GRN | OTH,7.299046719,0.02525268222,0.02525268222
,,,,,ALP|GRN|IND|LNP|ON → GRN | OTH,7.299046719,0.0161844251,0.0161844251
,,,,,ALP|GRN|IND|LNP|ON → GRN | OTH,7.299046719,0.03856975347,0.03856975347
,,,,,ALP|GRN|IND|LNP|ON → GRN | OTH,7.299046719,0.02041212855,0.02041212855
,,,,,ALP|GRN|IND|LNP|ON → GRN | OTH,7.299046719,0.07428709708,0.07428709708
,,,,,ALP|GRN|IND|LNP|ON → GRN | OTH,7.299046719,0.02164326462,0.02164326462
,,,,,ALP|GRN|IND|LNP|ON → GRN | OTH,7.299046719,0.0197001446,0.0197001446
,,,,,ALP|GRN|IND|LNP|ON → GRN | OTH,7.299046719,0.01820617207,0.01820617207
,,,,,ALP|GRN|IND|LNP|ON → GRN | OTH,7.299046719,0.0255579502,0.0255579502
,,,,,ALP|GRN|IND|LNP|ON → IND | OTH,11.131154,0.01247027576,0.01247027576
,,,,,ALP|GRN|IND|LNP|ON → IND | OTH,11.131154,0.005003580249,0.005003580249
,,,,,ALP|GRN|IND|LNP|ON → IND | OTH,11.131154,0.003815346889,0.003815346889
,,,,,ALP|GRN|IND|LNP|ON → IND | OTH,11.131154,0.00957487909,0.00957487909
,,,,,ALP|GRN|IND|LNP|ON → IND | OTH,11.131154,0.01984872225,0.01984872225
,,,,,ALP|GRN|IND|LNP|ON → IND | OTH,11.131154,0.006571178624,0.006571178624
,,,,,ALP|GRN|IND|LNP|ON → IND | OTH,11.131154,0.008328551136,0.008328551136
,,,,,ALP|GRN|IND|LNP|ON → IND | OTH,11.131154,0.01531028641,0.01531028641
,,,,,ALP|GRN|IND|LNP|ON → IND | OTH,11.131154,0.006374346733,0.006374346733
,,,,,ALP|GRN|IND|LNP|ON → IND | OTH,11.131154,0.02741157786,0.02741157786
,,,,,ALP|GRN|IND|LNP|ON → IND | OTH,11.131154,0.0123586591,0.0123586591
,,,,,ALP|GRN|IND|LNP|ON → IND | OTH,11.131154,0.03980271886,0.03980271886
,,,,,ALP|GRN|IND|LNP|ON → IND | OTH,11.131154,0.0149943503,0.0149943503
,,,,,ALP|GRN|IND|LNP|ON → IND | OTH,11.131154,0.02799074795,0.02799074795
,,,,,ALP|GRN|IND|LNP|ON → IND | OTH,11.131154,0.01202026506,0.01202026506
,,,,,ALP|GRN|IND|LNP|ON → IND | OTH,11.131154,0.02215597967,0.02215597967
,,,,,ALP|GRN|IND|LNP|ON → IND | OTH,11.131154,0.02909578028,0.02909578028
,,,,,ALP|GRN|IND|LNP|ON → IND | OTH,11.131154,0.01703177707,0.01703177707
,,,,,ALP|GRN|IND|LNP|ON → IND | OTH,11.131154,0.01226683339,0.01226683339
,,,,,ALP|GRN|IND|LNP|ON → IND | OTH,11.131154,0.01590052123,0.01590052123
,,,,,ALP|GRN|IND|LNP|ON → IND | OTH,11.131154,0.01697085324,0.01697085324
,,,,,ALP|GRN|IND|LNP|ON → IND | OTH,11.131154,0.01553993834,0.01553993834
,,,,,ALP|GRN|IND|LNP|ON → IND | OTH,11.131154,0.0264282308,0.0264282308
,,,,,ALP|GRN|IND|LNP|ON → IND | OTH,11.131154,0.01413302377,0.01413302377
,,,,,ALP|GRN|IND|LNP|ON → IND | OTH,11.131154,0.01936401324,0.01936401324
,,,,,ALP|GRN|IND|LNP|ON → IND | OTH,11.131154,0.01430328656,0.01430328656
,,,,,ALP|GRN|IND|LNP|ON → IND | OTH,11.131154,0.01338156716,0.01338156716
,,,,,ALP|GRN|IND|LNP|ON → IND | OTH,11.131154,0.0161301133,0.0161301133
,,,,,ALP|GRN|IND|LNP|ON → IND | OTH,11.131154,0.01228727434,0.01228727434
,,,,,ALP|GRN|IND|LNP|ON → IND | OTH,11.131154,0.0278401779,0.0278401779
,,,,,ALP|GRN|IND|LNP|ON → IND | OTH,11.131154,0.024993377,0.024993377
,,,,,ALP|GRN|IND|LNP|ON → IND | OTH,11.131154,0.02673061723,0.02673061723
,,,,,ALP|GRN|IND|LNP|ON → IND | OTH,11.131154,0.01746525259,0.01746525259
,,,,,ALP|GRN|IND|LNP|ON → IND | OTH,11.131154,0.01906444762,0.01906444762
,,,,,ALP|GRN|IND|LNP|ON → IND | OTH,11.131154,0.01452400993,0.01452400993
,,,,,ALP|GRN|IND|LNP|ON → IND | OTH,11.131154,0.02623541696,0.02623541696
,,,,,ALP|GRN|IND|LNP|ON → IND | OTH,11.131154,0.01403467747,0.01403467747
,,,,,ALP|GRN|IND|LNP|ON → IND | OTH,11.131154,0.02136405598,0.02136405598
,,,,,ALP|GRN|IND|LNP|ON → IND | OTH,11.131154,0.01545205685,0.01545205685
,,,,,ALP|GRN|IND|LNP|ON → IND | OTH,11.131154,0.01720651405,0.01720651405
,,,,,ALP|GRN|IND|LNP|ON → IND | OTH,11.131154,0.02232436508,0.02232436508
,,,,,ALP|GRN|IND|LNP|ON → IND | OTH,11.131154,0.02761288501,0.02761288501
