Eliminated,AliveSet,Recipient,Votes,ScenarioTotal,Share,Seats,SeatObservations,BetweenSeatVariance,PoolingWeight,Source
ON,ALP+LNP+OTH,ALP,733.4257270926718,7541.0,0.09725841759616381,1,1,0.0,EQUAL_SEAT,CATEGORY_PREF_FLOWS_LONG
ON,ALP+LNP+OTH,LNP,1773.4281246742416,7541.0,0.23517147920358591,1,1,0.0,EQUAL_SEAT,CATEGORY_PREF_FLOWS_LONG
ON,ALP+LNP+OTH,OTH,5034.146148233087,7541.0,0.6675701032002503,1,1,0.0,EQUAL_SEAT,CATEGORY_PREF_FLOWS_LONG
ON,IND+LNP,IND,2789.557478075373,7611.0,0.3665165521055542,1,1,0.0,EQUAL_SEAT,CATEGORY_PREF_FLOWS_LONG
ON,IND+LNP,LNP,4821.442521924627,7611.0,0.6334834478944458,1,1,0.0,EQUAL_SEAT,CATEGORY_PREF_FLOWS_LONG
OTH,ALP+GRN+IND+LNP,ALP,5652.410070300116,27073.0,0.19840329263681097,5,5,0.0041324057054232055,EQUAL_SEAT,CATEGORY_PREF_FLOWS_LONG
OTH,ALP+GRN+IND+LNP,GRN,3421.4575919458166,27073.0,0.1338150108259281,5,5,0.005355955133413988,EQUAL_SEAT,CATEGORY_PREF_FLOWS_LONG
OTH,ALP+GRN+IND+LNP,IND,10409.520832839084,27073.0,0.40034625731529194,5,5,0.020082416164525992,EQUAL_SEAT,CATEGORY_PREF_FLOWS_LONG
OTH,ALP+GRN+IND+LNP,LNP,7589.611504914983,27073.0,0.267435439221969,5,5,0.008800695557544565,EQUAL_SEAT,CATEGORY_PREF_FLOWS_LONG
OTH,ALP+GRN+IND+LNP+ON,ALP,25963.605475895012,227151.0,0.11539015223192381,34,34,0.0015135961107501416,EQUAL_SEAT,CATEGORY_PREF_FLOWS_LONG
OTH,ALP+GRN+IND+LNP+ON,GRN,26438.81592838217,227151.0,0.12142169706504517,34,34,0.0033691439747008996,EQUAL_SEAT,CATEGORY_PREF_FLOWS_LONG
OTH,ALP+GRN+IND+LNP+ON,IND,50501.40602187585,227151.0,0.22567883894725171,34,34,0.006702240663606323,EQUAL_SEAT,CATEGORY_PREF_FLOWS_LONG
OTH,ALP+GRN+IND+LNP+ON,LNP,39931.86161643522,227151.0,0.18159416709087614,34,34,0.0032594357354797723,EQUAL_SEAT,CATEGORY_PREF_FLOWS_LONG
OTH,ALP+GRN+IND+LNP+ON,ON,84315.31095741176,227151.0,0.35591514466490315,34,34,0.01135662352240139,EQUAL_SEAT,CATEGORY_PREF_FLOWS_LONG
OTH,ALP+GRN+LNP,ALP,17672.510011545663,73594.0,0.25008069547857287,7,7,0.0026541936577438407,EQUAL_SEAT,CATEGORY_PREF_FLOWS_LONG
OTH,ALP+GRN+LNP,GRN,36627.19206713421,73594.0,0.4585757649826738,7,7,0.03896476600846063,EQUAL_SEAT,CATEGORY_PREF_FLOWS_LONG
OTH,ALP+GRN+LNP,LNP,19294.29792132012,73594.0,0.2913435395387534,7,7,0.022529904278121734,EQUAL_SEAT,CATEGORY_PREF_FLOWS_LONG
OTH,ALP+GRN+LNP+ON,ALP,155416.39475378222,819605.0,0.19080355678563574,87,87,0.00244013791044804,EQUAL_SEAT,CATEGORY_PREF_FLOWS_LONG
OTH,ALP+GRN+LNP+ON,GRN,179525.04551495129,819605.0,0.22430969623508876,87,87,0.007697294235602796,EQUAL_SEAT,CATEGORY_PREF_FLOWS_LONG
OTH,ALP+GRN+LNP+ON,LNP,163399.39984818743,819605.0,0.20278537707075964,87,87,0.002924054024886679,EQUAL_SEAT,CATEGORY_PREF_FLOWS_LONG
OTH,ALP+GRN+LNP+ON,ON,321264.15988307906,819605.0,0.38210136990851556,87,87,0.009245747255658158,EQUAL_SEAT,CATEGORY_PREF_FLOWS_LONG
OTH,ALP+IND+LNP+ON,ALP,6879.922626394,42435.0,0.15905194276425513,3,3,0.001450942217095654,EQUAL_SEAT,CATEGORY_PREF_FLOWS_LONG
OTH,ALP+IND+LNP+ON,IND,12425.91787847851,42435.0,0.30518091281917936,3,3,0.004986310437220903,EQUAL_SEAT,CATEGORY_PREF_FLOWS_LONG
OTH,ALP+IND+LNP+ON,LNP,9331.872040113994,42435.0,0.21021078019573722,3,3,0.002050097127475732,EQUAL_SEAT,CATEGORY_PREF_FLOWS_LONG
OTH,ALP+IND+LNP+ON,ON,13797.287455013497,42435.0,0.3255563642208283,3,3,0.00012542415261951973,EQUAL_SEAT,CATEGORY_PREF_FLOWS_LONG
OTH,ALP+LNP,ALP,11252.910369299465,28476.0,0.39292171285993205,2,2,0.0032805690090901935,EQUAL_SEAT,CATEGORY_PREF_FLOWS_LONG
OTH,ALP+LNP,LNP,17223.08963070054,28476.0,0.607078287140068,2,2,0.003280569009090198,EQUAL_SEAT,CATEGORY_PREF_FLOWS_LONG
OTH,ALP+LNP+ON,ALP,16052.907612894405,75875.0,0.20133844601190573,5,5,0.003305568282146968,EQUAL_SEAT,CATEGORY_PREF_FLOWS_LONG
OTH,ALP+LNP+ON,LNP,18620.087078807428,75875.0,0.2411779595300459,5,5,0.002314569876725814,EQUAL_SEAT,CATEGORY_PREF_FLOWS_LONG
OTH,ALP+LNP+ON,ON,41202.00530829817,75875.0,0.5574835944580484,5,5,0.004085612617233961,EQUAL_SEAT,CATEGORY_PREF_FLOWS_LONG
