3CP SD,2CP SD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.0,2.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3CP,,,,,,2CP,,,,,,ALP,,,LNP,,,GRN,,,ON,,,IND,,,OTH,,
Division,ALP,LNP,GRN,ON,IND,OTH,ALP,LNP,GRN,ON,IND,OTH,3CP Margin,3CP Prob,Win Prob,3CP Margin,3CP Prob,Win Prob,3CP Margin,3CP Prob,Win Prob,3CP Margin,3CP Prob,Win Prob,3CP Margin,3CP Prob,Win Prob,3CP Margin,3CP Prob,Win Prob
Deakin (VIC),0.4511734082,0.3384444941,,0.2103820977,,,0.5055458185,0.4944541815,,,,,0.2407913105,1,0.6092216358,0.1280623963,0.9999999999,0.3907783642,-0.2103820977,0,0,0,,,-0.2103820977,,,-0.2103820977,,
Menzies (VIC),0.4427884274,0.3621966724,,0.1950149002,,,0.4943316445,0.5056683555,,,,,0.2477735273,1,0.3884283027,0.1671817722,1,0.6115716973,-0.1950149002,0,0,0,,,-0.1950149002,,,-0.1950149002,,
Calwell (VIC),0.4438845175,,,0.2971095147,0.2590059678,,0.6165551627,,,0.3834448373,,,0.1848785497,1,0.9999999972,-0.2590059678,0,0,-0.2971095147,0,0,0.03810354689,,,0,,,-0.2590059678,,
Jagajaga (VIC),0.4198058793,0.3516181432,0.2285759775,,,,0.6260587559,0.3739412441,,,,,0.1912299018,1,0.9999999999,0.1230421656,0.9999999996,1.460280785e-10,0,0.5,0,-0.2285759775,,,-0.2285759775,,,-0.2285759775,,
Scullin (VIC),0.5104339012,,,0.3000397018,,0.1895263971,0.5693727977,,,0.4306272023,,,0.3209075041,1,0.9997384499,-0.1895263971,0,0,-0.1895263971,0,0,0.1105133047,,,-0.1895263971,,,0,,
Bruce (VIC),0.5154472181,0.1835752139,,0.300977568,,,0.5675825788,,,0.4324174212,,,0.3318720043,1,0.9996364205,-0.1174023542,2.177429348e-09,0,-0.1835752139,0,0,0.1174023542,,,-0.1835752139,,,-0.1835752139,,
Dunkley (VIC),0.4808713041,0.2524583221,,0.2666703738,,,0.5525694676,,,0.4474305324,,,0.228412982,1,0.9957115466,-0.01421205169,0.2386652706,0,-0.2524583221,0,0,0.01421205169,,,-0.2524583221,,,-0.2524583221,,
Holt (VIC),0.5171542384,0.1886982153,,0.2941475462,,,0.5707445316,,,0.4292554684,,,0.3284560231,1,0.9997978237,-0.1054493309,6.730118973e-08,0,-0.1886982153,0,0,0.1054493309,,,-0.1886982153,,,-0.1886982153,,
Isaacs (VIC),0.558238458,0.2101994133,,0.2315621287,,,0.6179350913,,,0.3820649087,,,0.3480390447,1,0.9999999981,-0.02136271545,0.1427296358,0,-0.2101994133,0,0,0.02136271545,,,-0.2101994133,,,-0.2101994133,,
Gorton (VIC),0.4956449371,0.2275472473,,0.2768078156,,,0.5602683553,,,0.4397316447,,,0.2680976897,1,0.9987083848,-0.0492605683,0.006888449848,0,-0.2275472473,0,0,0.0492605683,,,-0.2275472473,,,-0.2275472473,,
