State,DivisionID,Electorate,EliminatedModelCategory,FinishPosition,CategoryExitCount,AliveModelCategoriesAfter,CandidateCount,InternalCandidateExclusions,CategoryPrimaryVotes,LastSurvivorCandidateID,LastSurvivorCandidate,LastSurvivorSubtype,LastSurvivorIdeologyFamily,LastSurvivorPrimaryVotes,LastSurvivorPrimaryCoverage,DefaultEvidenceMultiplier,CategorySubtypeMix,CategoryIdeologyMix,Method,VoteBasis,EvidenceVotes,RecipientModelCategory,AllocatedVotes,Share,IsApproximation
NSW,103,Banks,OTH,5,4,ALP>LNP>GRN>ON,4,3,8791,41763,Allan Taruste,OTH_CYA,RIGHT,3430,0.39017176657945624,0.39017176657945624,OTH_CYA:3430|OTH_LTP:2678|IND_MINOR:1995|OTH_AUD:688,RIGHT:6108|CENTRE_LEFT:2683,PROPORTIONAL_PRIMARY_ORIGIN_PASS_THROUGH,ALL_CATEGORY_PRIMARY_VOTES_TRACED_PROPORTIONALLY,8791,GRN,1555.9999999999998,0.1769992037310886,True
NSW,103,Banks,OTH,5,4,ALP>LNP>GRN>ON,4,3,8791,41763,Allan Taruste,OTH_CYA,RIGHT,3430,0.39017176657945624,0.39017176657945624,OTH_CYA:3430|OTH_LTP:2678|IND_MINOR:1995|OTH_AUD:688,RIGHT:6108|CENTRE_LEFT:2683,PROPORTIONAL_PRIMARY_ORIGIN_PASS_THROUGH,ALL_CATEGORY_PRIMARY_VOTES_TRACED_PROPORTIONALLY,8791,LNP,1623.0,0.1846206347400751,True
NSW,103,Banks,OTH,5,4,ALP>LNP>GRN>ON,4,3,8791,41763,Allan Taruste,OTH_CYA,RIGHT,3430,0.39017176657945624,0.39017176657945624,OTH_CYA:3430|OTH_LTP:2678|IND_MINOR:1995|OTH_AUD:688,RIGHT:6108|CENTRE_LEFT:2683,PROPORTIONAL_PRIMARY_ORIGIN_PASS_THROUGH,ALL_CATEGORY_PRIMARY_VOTES_TRACED_PROPORTIONALLY,8791,ON,4323.0,0.49175292913206686,True
NSW,104,Barton,GRN,3,4,ALP>LNP,1,0,15885,41494,Manal Bahsa,GRN,,15885,1.0,1.0,GRN:15885,UNSPECIFIED:15885,OBSERVED_LAST_SURVIVOR_EXIT,LAST_SURVIVOR_TALLY_AT_CATEGORY_EXIT,18170,ALP,15134.0,0.8329113924050633,False
NSW,104,Barton,GRN,3,4,ALP>LNP,1,0,15885,41494,Manal Bahsa,GRN,,15885,1.0,1.0,GRN:15885,UNSPECIFIED:15885,OBSERVED_LAST_SURVIVOR_EXIT,LAST_SURVIVOR_TALLY_AT_CATEGORY_EXIT,18170,LNP,3036.0,0.1670886075949367,False
NSW,104,Barton,GRN,3,4,ALP>LNP,1,0,15885,41494,Manal Bahsa,GRN,,15885,1.0,1.0,GRN:15885,UNSPECIFIED:15885,PROPORTIONAL_PRIMARY_ORIGIN_PASS_THROUGH,ALL_CATEGORY_PRIMARY_VOTES_TRACED_PROPORTIONALLY,15885,ALP,13230.79746835443,0.8329113924050633,True
NSW,104,Barton,GRN,3,4,ALP>LNP,1,0,15885,41494,Manal Bahsa,GRN,,15885,1.0,1.0,GRN:15885,UNSPECIFIED:15885,PROPORTIONAL_PRIMARY_ORIGIN_PASS_THROUGH,ALL_CATEGORY_PRIMARY_VOTES_TRACED_PROPORTIONALLY,15885,LNP,2654.2025316455697,0.1670886075949367,True
NSW,104,Barton,ON,4,3,ALP>LNP>GRN,1,0,5573,41862,Christos Nicolis,ON,,5573,1.0,1.0,ON:5573,UNSPECIFIED:5573,OBSERVED_LAST_SURVIVOR_EXIT,LAST_SURVIVOR_TALLY_AT_CATEGORY_EXIT,9524,ALP,2752.0,0.2889542209155817,False
NSW,104,Barton,ON,4,3,ALP>LNP>GRN,1,0,5573,41862,Christos Nicolis,ON,,5573,1.0,1.0,ON:5573,UNSPECIFIED:5573,OBSERVED_LAST_SURVIVOR_EXIT,LAST_SURVIVOR_TALLY_AT_CATEGORY_EXIT,9524,GRN,1336.0,0.14027719445611087,False
NSW,104,Barton,ON,4,3,ALP>LNP>GRN,1,0,5573,41862,Christos Nicolis,ON,,5573,1.0,1.0,ON:5573,UNSPECIFIED:5573,OBSERVED_LAST_SURVIVOR_EXIT,LAST_SURVIVOR_TALLY_AT_CATEGORY_EXIT,9524,LNP,5436.0,0.5707685846283075,False
