State,DivisionID,Electorate,CountNumber,EliminatedCandidateID,EliminatedCandidate,EliminatedModelCategory,EliminatedCandidateSubtype,EliminatedIdeologyFamily,EliminatedTally,InternalCategoryExclusion,CategoryExitThisCount,RecipientCandidateID,RecipientCandidate,RecipientModelCategory,RecipientCandidateSubtype,RecipientIdeologyFamily,TransferVotes,TransferShare,SameCategoryTransfer,AliveModelCategoriesAfter
VIC,328,Corangamite,2,41380,James Jackson,OTH,OTH_CYA,RIGHT,2622,True,False,41088,Mitch Pope,GRN,GRN,,130,0.04958047292143402,False,ALP>LNP>GRN>ON>OTH
VIC,328,Corangamite,2,41380,James Jackson,OTH,OTH_CYA,RIGHT,2622,True,False,41191,Kate Lockhart,OTH,IND_MINOR,LEFT,448,0.17086193745232647,True,ALP>LNP>GRN>ON>OTH
VIC,328,Corangamite,2,41380,James Jackson,OTH,OTH_CYA,RIGHT,2622,True,False,41224,Harley Mackenzie,OTH,OTH_HMP,CENTRE_LEFT,285,0.10869565217391304,True,ALP>LNP>GRN>ON>OTH
VIC,328,Corangamite,2,41380,James Jackson,OTH,OTH_CYA,RIGHT,2622,True,False,41510,Colin Seabrook,ON,ON,,1045,0.39855072463768115,False,ALP>LNP>GRN>ON>OTH
VIC,328,Corangamite,3,41224,Harley Mackenzie,OTH,OTH_HMP,CENTRE_LEFT,3507,True,False,40773,Darcy Dunstan,LNP,LIB,,567,0.16167664670658682,False,ALP>LNP>GRN>ON>OTH
VIC,328,Corangamite,3,41224,Harley Mackenzie,OTH,OTH_HMP,CENTRE_LEFT,3507,True,False,40877,Libby Coker,ALP,ALP,,915,0.2609067579127459,False,ALP>LNP>GRN>ON>OTH
VIC,328,Corangamite,3,41224,Harley Mackenzie,OTH,OTH_HMP,CENTRE_LEFT,3507,True,False,41088,Mitch Pope,GRN,GRN,,923,0.2631879098944967,False,ALP>LNP>GRN>ON>OTH
VIC,328,Corangamite,3,41224,Harley Mackenzie,OTH,OTH_HMP,CENTRE_LEFT,3507,True,False,41191,Kate Lockhart,OTH,IND_MINOR,LEFT,676,0.19275734245794127,True,ALP>LNP>GRN>ON>OTH
VIC,328,Corangamite,3,41224,Harley Mackenzie,OTH,OTH_HMP,CENTRE_LEFT,3507,True,False,41510,Colin Seabrook,ON,ON,,426,0.12147134302822926,False,ALP>LNP>GRN>ON>OTH
VIC,328,Corangamite,4,41510,Colin Seabrook,ON,ON,,5460,False,True,40773,Darcy Dunstan,LNP,LIB,,2721,0.49835164835164836,False,ALP>LNP>GRN>OTH
VIC,328,Corangamite,4,41510,Colin Seabrook,ON,ON,,5460,False,True,40877,Libby Coker,ALP,ALP,,606,0.11098901098901098,False,ALP>LNP>GRN>OTH
VIC,328,Corangamite,4,41510,Colin Seabrook,ON,ON,,5460,False,True,41088,Mitch Pope,GRN,GRN,,350,0.0641025641025641,False,ALP>LNP>GRN>OTH
VIC,328,Corangamite,4,41510,Colin Seabrook,ON,ON,,5460,False,True,41191,Kate Lockhart,OTH,IND_MINOR,LEFT,1783,0.32655677655677656,False,ALP>LNP>GRN>OTH
VIC,328,Corangamite,5,41191,Kate Lockhart,OTH,IND_MINOR,LEFT,7584,False,True,40773,Darcy Dunstan,LNP,LIB,,1793,0.236418776371308,False,ALP>LNP>GRN
VIC,328,Corangamite,5,41191,Kate Lockhart,OTH,IND_MINOR,LEFT,7584,False,True,40877,Libby Coker,ALP,ALP,,1935,0.25514240506329117,False,ALP>LNP>GRN
VIC,328,Corangamite,5,41191,Kate Lockhart,OTH,IND_MINOR,LEFT,7584,False,True,41088,Mitch Pope,GRN,GRN,,3856,0.5084388185654009,False,ALP>LNP>GRN
VIC,328,Corangamite,6,41088,Mitch Pope,GRN,GRN,,20236,False,True,40773,Darcy Dunstan,LNP,LIB,,2405,0.11884759833959281,False,ALP>LNP
VIC,328,Corangamite,6,41088,Mitch Pope,GRN,GRN,,20236,False,True,40877,Libby Coker,ALP,ALP,,17831,0.8811524016604072,False,ALP>LNP
VIC,208,Corio,1,41251,Sarah Hathway,OTH,OTH_SAL,LEFT,3209,True,False,40759,Darren Buller,LNP,LIB,,117,0.036459956372701774,False,ALP>LNP>GRN>ON>OTH
VIC,208,Corio,1,41251,Sarah Hathway,OTH,OTH_SAL,LEFT,3209,True,False,40854,Richard Marles,ALP,ALP,,450,0.14023060143346838,False,ALP>LNP>GRN>ON>OTH
