State,DivisionID,Electorate,ModelCategory,CandidateCount,PrimaryVotes,FinishPosition,CategoryExitCount,LastSurvivingCandidateID,LastSurvivingCandidate,LastSurvivingSubtype,LastSurvivingIdeologyFamily,InternalCandidateExclusions,PrimaryShare
NSW,108,Bradfield,OTH,3,7173,5,4,41989,Andy Yin,IND_MINOR,CENTRE,2,0.06392934172296394
NSW,108,Bradfield,ON,1,1725,6,3,41891,John Manton,ON,,0,0.01537405750343131
NSW,109,Calare,IND,2,41928,1,,36348,Andrew Gee,IND_PROMINENT,CENTRE_RIGHT,1,0.39455334205350673
NSW,109,Calare,LNP,1,31577,2,,42037,Sam Farraway,NAT,,0,0.29714775047757064
NSW,109,Calare,ALP,1,11086,3,7,41345,Julie Cunningham,ALP,,0,0.10432213198829364
NSW,109,Calare,ON,1,8200,4,6,41902,Jennifer Hughes,ON,,0,0.07716412432834276
NSW,109,Calare,OTH,4,9723,5,5,41931,Sue Raye,OTH_HMP,CENTRE_LEFT,3,0.09149594888347276
NSW,109,Calare,GRN,1,3753,6,4,41518,Ben Parker,GRN,,0,0.03531670226881346
NSW,111,Chifley,ALP,1,47078,1,,41323,Ed Husic,ALP,,0,0.526517100230389
NSW,111,Chifley,LNP,1,17613,2,,41599,Allan Green,LIB,,0,0.19698257543561412
NSW,111,Chifley,GRN,1,8724,3,6,41527,Sukhjinder Pal Singh,GRN,,0,0.09756861341624354
NSW,111,Chifley,ON,1,5338,4,5,41906,Tony Nikolic,ON,,0,0.059699823293891334
NSW,111,Chifley,OTH,4,10661,5,4,41791,Jamie Green,OTH_FFPA,RIGHT,3,0.11923188762386204
NSW,112,Cook,LNP,1,51121,1,,41452,Simon Kennedy,LIB,,0,0.48062314316874133
NSW,112,Cook,ALP,1,33474,2,,41336,Simon Earle,ALP,,0,0.3147117445752322
NSW,112,Cook,GRN,1,10575,3,4,41548,Martin Moore,GRN,,0,0.09942273701628371
NSW,112,Cook,ON,1,4638,4,3,41913,Mark Preston,ON,,0,0.04360497912827648
NSW,112,Cook,OTH,2,6556,5,2,41788,Natalie Fuller,OTH_FFPA,RIGHT,1,0.061637396111466285
