State,DivisionID,Electorate,CountNumber,CandidateID,BallotPosition,CandidateName,OfficialPartyCode,OfficialPartyName,ModelCategory,CandidateSubtype,IdeologyFamily,PrimaryVotes,PreferenceCountBefore,TransferCount,PreferenceCountAfter,IsExcludedThisCount,InternalCategoryExclusion,CategoryExitThisCount,SameCategoryCandidatesAliveAfter,IsContinuingBefore,IsContinuingAfter,AliveCandidateCountBefore,AliveCandidateCountAfter,AliveCategoryCountBefore,AliveCategoryCountAfter,AliveCandidateIDsBefore,AliveCandidateIDsAfter,AliveModelCategoriesBefore,AliveModelCategoriesAfter,FinishPosition,CategoryExitCount,LastSurvivingCandidateID,AEC_Elected,AEC_HistoricElected
ACT,102,Fenner,1,41398,4,Dani Hunterford,GRN,Australian Greens,GRN,GRN,,15492,15492,1383,16875,False,False,False,0,True,True,4,3,4,3,40678>41079>41398>41713,40678>41079>41398,ALP>LNP>GRN>OTH,ALP>LNP>GRN,3,2,41398,N,N
ACT,102,Fenner,2,41079,1,Bola Olatunbosun,LP,Liberal,LNP,LIB,,20723,24560,1812,26372,False,False,False,0,True,True,3,2,3,2,40678>41079>41398,40678>41079,ALP>LNP>GRN,ALP>LNP,2,,41079,N,N
ACT,102,Fenner,2,41713,2,Elizabeth Kikkert,FFPA,Family First,OTH,OTH_FFPA,RIGHT,7426,0,0,0,False,False,False,0,False,False,3,2,3,2,40678>41079>41398,40678>41079,ALP>LNP>GRN,ALP>LNP,4,1,41713,N,N
ACT,102,Fenner,2,40678,3,Andrew Leigh,ALP,Australian Labor Party,ALP,ALP,,50819,53025,15063,68088,False,False,False,0,True,True,3,2,3,2,40678>41079>41398,40678>41079,ALP>LNP>GRN,ALP>LNP,1,,40678,Y,Y
ACT,102,Fenner,2,41398,4,Dani Hunterford,GRN,Australian Greens,GRN,GRN,,15492,16875,-16875,0,True,False,True,0,True,False,3,2,3,2,40678>41079>41398,40678>41079,ALP>LNP>GRN,ALP>LNP,3,2,41398,N,N
NSW,103,Banks,0,41763,1,Allan Taruste,CYA,Trumpet of Patriots,OTH,OTH_CYA,RIGHT,3430,3430,0,3430,False,False,False,0,True,True,8,8,5,5,40625>41350>41411>41486>41763>41858>41871>41990,40625>41350>41411>41486>41763>41858>41871>41990,ALP>LNP>GRN>ON>OTH,ALP>LNP>GRN>ON>OTH,5,4,41763,N,N
NSW,103,Banks,0,41858,2,Todd Nicol,ON,Pauline Hanson's One Nation,ON,ON,,3666,3666,0,3666,False,False,False,0,True,True,8,8,5,5,40625>41350>41411>41486>41763>41858>41871>41990,40625>41350>41411>41486>41763>41858>41871>41990,ALP>LNP>GRN>ON>OTH,ALP>LNP>GRN>ON>OTH,4,5,41858,N,N
NSW,103,Banks,0,41990,3,Phillip Pearce,AUD,Australian Democrats,OTH,OTH_AUD,CENTRE_LEFT,688,688,0,688,False,False,False,0,True,True,8,8,5,5,40625>41350>41411>41486>41763>41858>41871>41990,40625>41350>41411>41486>41763>41858>41871>41990,ALP>LNP>GRN>ON>OTH,ALP>LNP>GRN>ON>OTH,5,4,41763,N,N
NSW,103,Banks,0,41871,4,Marika Momircevski,LTP,Libertarian,OTH,OTH_LTP,RIGHT,2678,2678,0,2678,False,False,False,0,True,True,8,8,5,5,40625>41350>41411>41486>41763>41858>41871>41990,40625>41350>41411>41486>41763>41858>41871>41990,ALP>LNP>GRN>ON>OTH,ALP>LNP>GRN>ON>OTH,5,4,41763,N,N
NSW,103,Banks,0,41486,5,Natalie Hanna,GRN,The Greens,GRN,GRN,,11756,11756,0,11756,False,False,False,0,True,True,8,8,5,5,40625>41350>41411>41486>41763>41858>41871>41990,40625>41350>41411>41486>41763>41858>41871>41990,ALP>LNP>GRN>ON>OTH,ALP>LNP>GRN>ON>OTH,3,6,41486,N,N
NSW,103,Banks,0,41350,6,Zhi Soon,ALP,Labor,ALP,ALP,,36039,36039,0,36039,False,False,False,0,True,True,8,8,5,5,40625>41350>41411>41486>41763>41858>41871>41990,40625>41350>41411>41486>41763>41858>41871>41990,ALP>LNP>GRN>ON>OTH,ALP>LNP>GRN>ON>OTH,1,,41350,Y,N
