Division,State,ALP_primary,LNP_primary,GRN_primary,ON_primary,IND_primary,OTH_primary,ALP_3CP,LNP_3CP,GRN_3CP,ON_3CP,IND_3CP,OTH_3CP,ALP_2CP,LNP_2CP,GRN_2CP,ON_2CP,IND_2CP,OTH_2CP,ALP_2PP,LNP_2PP,GRN_2PP,ON_2PP,IND_2PP,OTH_2PP
Herbert,QLD,16.7104,37.2468,10.9324,21.3418,0.0000,13.7686,28.2595,44.5095,0.0000,27.2310,0.0000,0.0000,35.5734,64.4266,0.0000,0.0000,0.0000,0.0000,36.6257,63.3743,0.0000,0.0000,0.0000,0.0000
Hindmarsh,SA,41.5008,14.5561,15.7680,20.7631,0.0000,7.4120,45.2461,0.0000,19.1463,35.6075,0.0000,0.0000,62.3821,0.0000,0.0000,37.6179,0.0000,0.0000,66.3487,33.6513,0.0000,0.0000,0.0000,0.0000
Hinkler,QLD,22.8600,27.3992,8.5465,29.3845,2.3900,9.4199,30.0552,31.1249,0.0000,38.8200,0.0000,0.0000,0.0000,48.8303,0.0000,51.1697,0.0000,0.0000,43.6982,56.3018,0.0000,0.0000,0.0000,0.0000
Holt,VIC,37.7768,14.8166,12.2867,24.6320,0.0000,10.4879,51.7154,18.8698,0.0000,29.4148,0.0000,0.0000,57.0745,0.0000,0.0000,42.9255,0.0000,0.0000,64.0285,35.9715,0.0000,0.0000,0.0000,0.0000
Hotham,VIC,42.1084,15.4388,16.8981,19.2397,0.0000,6.3151,45.5655,0.0000,19.8389,34.5957,0.0000,0.0000,63.3213,0.0000,0.0000,36.6787,0.0000,0.0000,66.8594,33.1406,0.0000,0.0000,0.0000,0.0000
Hughes,NSW,30.7811,26.6878,12.2015,19.4130,0.0000,10.9166,42.5332,31.4831,0.0000,25.9836,0.0000,0.0000,49.5591,50.4409,0.0000,0.0000,0.0000,0.0000,53.0566,46.9434,0.0000,0.0000,0.0000,0.0000
Hume,NSW,20.1168,31.8037,9.4490,24.3074,4.1348,10.1883,29.5540,36.9518,0.0000,33.4942,0.0000,0.0000,0.0000,54.3620,0.0000,45.6380,0.0000,0.0000,41.9436,58.0564,0.0000,0.0000,0.0000,0.0000
Hunter,NSW,36.1332,8.4394,9.4817,33.0183,0.0000,12.9274,45.2009,0.0000,0.0000,40.0669,0.0000,14.7322,50.8983,0.0000,0.0000,49.1017,0.0000,0.0000,59.4813,40.5187,0.0000,0.0000,0.0000,0.0000
Indi,VIC,2.3182,19.2893,5.3699,23.4106,43.0249,6.5871,0.0000,21.5781,0.0000,27.9810,50.4409,0.0000,0.0000,0.0000,0.0000,44.9352,55.0648,0.0000,43.3335,56.6665,0.0000,0.0000,0.0000,0.0000
Isaacs,VIC,42.3362,17.6207,15.5812,19.5903,0.0000,4.8717,55.8238,21.0199,0.0000,23.1562,0.0000,0.0000,61.7935,0.0000,0.0000,38.2065,0.0000,0.0000,64.3403,35.6597,0.0000,0.0000,0.0000,0.0000
