ADELAIDE (SA),RAW,,,,,,,,ADELAIDE (SA),HELPER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ALP,LNP,GRN,ON,IND,OTH,PrefRow,,,ALP,LNP,GRN,ON,IND,OTH,,,ALP,LNP,GRN,ON,IND,OTH,,,ALP,LNP,GRN,ON,IND,OTH,ALP,LNP,GRN,ON,IND,OTH,ALP,LNP,GRN,ON,IND,OTH
ALP,0.0,0,0,0,0,0,,,ALP,0,0,0,0,0,0,,ALP,0,0.5229582047,0.2292232515,0.2478185437,0,0,1,,0.5396620975,0.1876739791125561,0.15816464043464243,0.11449928295101436,0.0,0.0,0.5396620975,0.7106321838367381,0.387387891982629,0.3623178266788457,0.0,0.0,0,0.35531609191836905,0.1936939459913145,0.18115891333942286,0.0,0.0
LNP,0,0.0,0,0,0,0,,,LNP,0,0,0,0,0,0,,LNP,0.5785380075,0,0.2025166124,0.2189453802,0,0,1,,0.2094852762455544,0.4683594140658077,0.17878286318869843,0.1433724464999394,0.0,0.0,0.7880232837055583,0.4683594140658077,0.38129947554978827,0.36231782667884577,0.0,0.0,0.39401164185277915,0.0,0.19064973777489413,0.18115891333942288,0.0,0.0
GRN,0.8216915525,0.1783084475,0.0,0,0,0,,,GRN,0.8216915525,0.1783084475,0,0,0,0,,GRN,0.8216915525,0.1783084475,0,0,0,0,1,,0.10315821395034944,0.4297103391139742,0.2244612321756861,0.24267021475999023,0.0,0.0,0.9248497664150661,0.6080187866492575,0.2244612321756861,0.24267021475999023,0.0,0.0,0.46242488320753306,0.30400939332462873,0.0,0.12133510737999512,0.0,0.0
ON,0.1967572305,0.5923751096,0.2108676599,0.0,0,0,,,ON,0.1967572305,0.5923751096,0.2108676599,0,0,0,,ON,0.1967572305,0.5923751096,0.2108676599,0,0,0,1,,0.5159796904165008,0.1404952931091744,0.16506713257439404,0.17845788389993072,0.0,0.0,0.7127369209160626,0.732870402662198,0.3759347925218086,0.17845788389993072,0.0,0.0,0.3563684604580313,0.366435201331099,0.1879673962609043,0.0,0.0,0.0
IND,0,0,0,0,0.0,0,,,IND,0,0,0,0,0,0,,IND,0.3957090597,0.3160189053,0.1385175342,0.1497545008,0,0,1,,0.32611291635508555,0.32034898475445506,0.1862831766203828,0.16725492227007654,0.0,0.0,0.7218219760338493,0.6363678900359365,0.32480071084180684,0.3170094230884072,0.0,0.0,0.36091098801692467,0.31818394501796826,0.16240035542090342,0.1585047115442036,0.0,0.0
OTH,0.1686783961,0.1773731588,0.2046849427,0.4492635025,0,0.0,,,OTH,0.1686783961,0.1773731588,0.2046849427,0.4492635025,0,0,,OTH,0.1686783961,0.1773731588,0.2046849427,0.4492635025,0,0,1,,0.3592008446984063,0.39084132204021665,0.16932116511106837,0.08063666815030868,0.0,0.0,0.5278792407704194,0.5682144807963542,0.374006107827926,0.5299001706053005,0.0,0.0,0.2639396203852097,0.2841072403981771,0.187003053913963,0.26495008530265024,0.0,0.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"MAKIN
(SA)",RAW,,,,,,,,"MAKIN
(SA)",HELPER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ALP,LNP,GRN,ON,IND,OTH,PrefRow,,,ALP,LNP,GRN,ON,IND,OTH,,,ALP,LNP,GRN,ON,IND,OTH,,,ALP,LNP,GRN,ON,IND,OTH,ALP,LNP,GRN,ON,IND,OTH,ALP,LNP,GRN,ON,IND,OTH
Index,1,2,3,4,5,6,140.0,,Index,1,2,3,4,5,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ALP,0.0,0,0,0,0,0,,,ALP,0,0,0,0,0,0,,ALP,0,0.4984298948,0.290395907,0.2111741982,0,0,1,,0.5023927022,0.19969333047596766,0.19661790297138915,0.10129606431597087,0.0,0.0,0.5023927022,0.6981232252456495,0.4870138099817622,0.31247026253591603,0.0,0.0,0,0.34906161262282476,0.2435069049908811,0.15623513126795802,0.0,0.0
LNP,0,0.0,0,0,0,0,,,LNP,0,0,0,0,0,0,,LNP,0.517297799,0,0.2794718864,0.2032303146,0,0,1,,0.23535638456483393,0.45001801798714425,0.20538564950384702,0.1092399479441749,0.0,0.0,0.7526541835620284,0.45001801798714425,0.48485753591491143,0.312470262535916,0.0,0.0,0.3763270917810142,0.0,0.24242876795745572,0.156235131267958,0.0,0.0
GRN,0.7122423008,0.2877576992,0.0,0,0,0,,,GRN,0.7122423008,0.2877576992,0,0,0,0,,GRN,0.7122423008,0.2877576992,0,0,0,0,1,,0.14885642442001226,0.35500285505815166,0.28725243597713856,0.20888828454469763,0.0,0.0,0.8610987252599206,0.6427605542182433,0.28725243597713856,0.20888828454469763,0.0,0.0,0.4305493626299603,0.32138027710912165,0.0,0.10444414227234881,0.0,0.0
ON,0.1786381389,0.5499235863,0.2714382747,0.0,0,0,,,ON,0.1786381389,0.5499235863,0.2714382747,0,0,0,,ON,0.1786381389,0.5499235863,0.2714382747,0,0,0,1,,0.47780408217779047,0.16714704218120424,0.2055639664318466,0.14948490920915875,0.0,0.0,0.6564422210808301,0.7170706285286317,0.4770022411813796,0.14948490920915875,0.0,0.0,0.32822111054041503,0.35853531426431584,0.2385011205906898,0.0,0.0,0.0
IND,0,0,0,0,0.0,0,,,IND,0,0,0,0,0,0,,IND,0.3496011014,0.3241782546,0.1888731781,0.1373474659,0,0,1,,0.32675566018836144,0.30413196238807155,0.22940279647257383,0.13970958095099328,0.0,0.0,0.6763567616103523,0.6283102169646256,0.41827597454368237,0.2770570468813398,0.0,0.0,0.33817838080517615,0.3141551084823128,0.20913798727184119,0.1385285234406699,0.0,0.0
OTH,0.1579228645,0.1348534782,0.2951812595,0.4120423978,0,0.0,,,OTH,0.1579228645,0.1348534782,0.2951812595,0.4120423978,0,0,,OTH,0.1579228645,0.1348534782,0.2951812595,0.4120423978,0,0,1,,0.35360647396728156,0.39024598992485876,0.19539198700873633,0.060755549099123424,0.0,0.0,0.5115293384903064,0.5250994681470018,0.490573246472529,0.47279794689016286,0.0,0.0,0.2557646692451532,0.2625497340735009,0.2452866232362645,0.23639897344508143,0.0,0.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"SPENCE
(SA)",RAW,,,,,,,,"SPENCE
(SA)",HELPER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
