,,,,,,,,
,,,,,,,,
Division,2022 Margin,2022 Aus 2PP,2022 Lean,2025 Margin,2025 2PP,2025 Aus 2PP,2025 Lean,New PVI
Hunter,0.04781338204742458,,0.026513382047424594,0.09481338204742462,0.5948133820474246,,0.04201338204742466,0.038138382047424646
Robertson,0.022264685648955784,,0.0009646856489557987,0.0936646856489558,0.5936646856489558,,0.040864685648955845,0.030889685648955834
Macquarie,0.06325665193017638,,0.04195665193017639,0.07705665193017641,0.5770566519301764,,0.024256651930176454,0.02868165193017644
Bennelong,-0.0003871708010053654,,-0.02168717080100535,0.0926128291989946,0.5926128291989946,,0.03981282919899465,0.02443782919899465
Eden-Monaro,0.060846272224712394,,0.03954627222471241,0.07214627222471237,0.5721462722247124,,0.019346272224712413,0.024396272224712412
Whitlam,0.08306112188517689,,0.061761121885176906,0.06246112188517694,0.5624611218851769,,0.009661121885176982,0.022686121885176963
Werriwa,0.053440315474695854,,0.03214031547469587,0.06774031547469583,0.5677403154746958,,0.014940315474695876,0.019240315474695874
Paterson,0.025993508978510382,,0.004693508978510397,0.06889350897851043,0.5688935089785104,,0.016093508978510473,0.013243508978510454
Gilmore,0.0016953274562596654,,-0.01960467254374032,0.05129532745625964,0.5512953274562596,,-0.0015046725437403152,-0.0060296725437403165
Warringah,-0.007358784107228344,,-0.02865878410722833,0.04514121589277165,0.5451412158927716,,-0.007658784107228311,-0.012908784107228316
Hughes,-0.034633847092934544,,-0.05593384709293453,0.030566152907065436,0.5305661529070654,,-0.022233847092934522,-0.030658847092934524
Banks,-0.026420685298428226,,-0.04772068529842821,0.023879314701571785,0.5238793147015718,,-0.028920685298428173,-0.03362068529842818
Wentworth,-0.011644494752379275,0.5213,-0.03294449475237926,0.005555505247620718,0.5055555052476207,0.5528,-0.04724449475237924,-0.043669494752379245
Berowra,-0.07564535511560294,,-0.09694535511560293,-0.016345355115602922,0.4836546448843971,,-0.06914535511560288,-0.07609535511560289
Lindsay,-0.061125892038391805,,-0.08242589203839179,-0.02782589203839181,0.4721741079616082,,-0.08062589203839177,-0.08107589203839177
Mackellar,-0.07867228177778574,,-0.09997228177778572,-0.03657228177778571,0.4634277182222143,,-0.08937228177778567,-0.09202228177778568
Bradfield,-0.06132674640380742,,-0.0826267464038074,-0.04952674640380744,0.45047325359619256,,-0.1023267464038074,-0.0974017464038074
Mitchell,-0.10488658822670305,,-0.12618658822670303,-0.03808658822670308,0.4619134117732969,,-0.09088658822670304,-0.09971158822670304
Hume,-0.06866440829621884,,-0.08996440829621882,-0.08056440829621886,0.41943559170378114,,-0.13336440829621882,-0.12251440829621882
Cook,-0.11624163438757473,,-0.13754163438757472,-0.07194163438757473,0.4280583656124253,,-0.12474163438757468,-0.1279416343875747
Cowper,-0.09526437555112083,,-0.11656437555112081,-0.09076437555112082,0.4092356244488792,,-0.14356437555112078,-0.1368143755511208
Page,-0.10645833782552933,,-0.1277583378255293,-0.09285833782552932,0.4071416621744707,,-0.14565833782552928,-0.14118333782552928
Lyne,-0.1379960676726109,,-0.1592960676726109,-0.0977960676726109,0.4022039323273891,,-0.15059606767261086,-0.15277106767261087
Riverina,-0.09710822585674195,,-0.11840822585674193,-0.12620822585674196,0.37379177414325804,,-0.17900822585674192,-0.16385822585674192
Calare,-0.15446391918469515,,-0.17576391918469514,-0.12256391918469517,0.37743608081530483,,-0.17536391918469513,-0.17546391918469512
Farrer,-0.16345807709847376,,-0.18475807709847375,-0.12885807709847374,0.37114192290152626,,-0.1816580770984737,-0.18243307709847373
Parkes,-0.18149672123332733,,-0.20279672123332732,-0.12969672123332732,0.3703032787666727,,-0.18249672123332727,-0.18757172123332727
New England,-0.15209626047260066,,-0.17339626047260065,-0.17059626047260068,0.3294037395273993,,-0.22339626047260064,-0.21089626047260063
,,,,,,,,
,,,,,,,,
Wills,0.2709098687386706,,0.24960986873867064,0.3086098687386706,0.8086098687386706,,0.2558098687386706,0.2542598687386706
Cooper,0.2571159332998717,,0.23581593329987172,0.2853159332998717,0.7853159332998717,,0.23251593329987175,0.23334093329987174
Melbourne,0.23090733108940154,,0.20960733108940155,0.23970733108940157,0.7397073310894016,,0.1869073310894016,0.1925823310894016
Fraser,0.16563039630770382,,0.14433039630770383,0.2202303963077038,0.7202303963077038,,0.16743039630770384,0.16165539630770384
Hotham,0.11589364849215245,,0.09459364849215246,0.16859364849215241,0.6685936484921524,,0.11579364849215246,0.11049364849215246
Scullin,0.15433334714381886,,0.13303334714381887,0.1429333471438189,0.6429333471438189,,0.09013334714381893,0.10085834714381892
Gellibrand,0.1120237447957263,,0.09072374479572631,0.15102374479572633,0.6510237447957263,,0.09822374479572638,0.09634874479572636
Calwell,0.12386340724908718,,0.10256340724908719,0.14706340724908717,0.6470634072490872,,0.09426340724908722,0.09633840724908721
Isaacs,0.0951031854022425,,0.07380318540224251,0.1434031854022425,0.6434031854022425,,0.09060318540224255,0.08640318540224254
Lalor,0.12793609443616294,,0.10663609443616295,0.13213609443616292,0.6321360944361629,,0.07933609443616296,0.08616109443616296
Corio,0.12491331706387732,,0.10361331706387733,0.13231331706387728,0.6323133170638773,,0.07951331706387732,0.08553831706387732
Maribyrnong,0.1302557497054777,,0.10895574970547772,0.12645574970547768,0.6264557497054777,,0.07365574970547772,0.08248074970547772
Jagajaga,0.12209053816866033,,0.10079053816866035,0.12879053816866037,0.6287905381686604,,0.07599053816866042,0.0821905381686604
Holt,0.07108457988189532,,0.04978457988189533,0.14028457988189535,0.6402845798818954,,0.0874845798818954,0.07805957988189538
Bruce,0.05306326008731077,,0.031763260087310785,0.14616326008731073,0.6461632600873107,,0.09336326008731077,0.07796326008731078
Macnamara,0.12165132452311189,,0.1003513245231119,0.11795132452311186,0.6179513245231119,,0.0651513245231119,0.0739513245231119
Ballarat,0.12984817294815376,,0.10854817294815378,0.10664817294815376,0.6066481729481538,,0.053848172948153805,0.0675231729481538
Gorton,0.09983875517940577,,0.07853875517940578,0.10283875517940577,0.6028387551794058,,0.050038755179405814,0.057163755179405806
Corangamite,0.0783749086714094,,0.05707490867140941,0.08047490867140938,0.5804749086714094,,0.027674908671409426,0.03502490867140942
Hawke,0.07620253234056085,,0.05490253234056086,0.07630253234056084,0.5763025323405608,,0.023502532340560878,0.031352532340560874
Dunkley,0.06769260975900193,,0.046392609759001946,0.07079260975900192,0.5707926097590019,,0.017992609759001965,0.02509260975900196
Chisholm,0.03330886479195683,,0.012008864791956841,0.05700886479195688,0.5570088647919569,,0.004208864791956923,0.006158864791956903
McEwen,0.03854508263317369,,0.017245082633173703,0.046545082633173696,0.5465450826331737,,-0.0062549173668262625,-0.0003799173668262712
Bendigo,0.1129893262800491,,0.09168932628004911,0.01398932628004912,0.5139893262800491,,-0.03881067371995084,-0.006185673719950852
Deakin,-0.00017227354186322152,,-0.021472273541863207,0.02822772645813676,0.5282277264581368,,-0.0245722735418632,-0.0237972735418632
Aston,-0.026121126273338846,,-0.04742112627333883,0.03427887372666116,0.5342788737266612,,-0.018521126273338795,-0.025746126273338804
Menzies,0.00417401078314894,,-0.017125989216851045,0.01077401078314899,0.510774010783149,,-0.04202598921685097,-0.03580098921685099
Casey,-0.014656993516065142,,-0.03595699351606513,-0.029656993516065155,0.47034300648393484,,-0.08245699351606511,-0.07083199351606512
Kooyong,-0.037418735581150386,,-0.05871873558115037,-0.023718735581150396,0.4762812644188496,,-0.07651873558115035,-0.07206873558115036
La Trobe,-0.08430452817078116,,-0.10560452817078114,-0.020604528170781122,0.4793954718292189,,-0.07340452817078108,-0.0814545281707811
Monash,-0.02944616119938742,,-0.05074616119938741,-0.04044616119938743,0.45955383880061257,,-0.09324616119938739,-0.0826211611993874
Goldstein,-0.03720000000000001,,-0.058499999999999996,-0.03970000000000001,0.4603,,-0.09249999999999997,-0.08399999999999998
Flinders,-0.06161897444375797,,-0.08291897444375795,-0.04781897444375799,0.452181025556242,,-0.10061897444375795,-0.09619397444375795
Indi,-0.052665090995036634,,-0.07396509099503662,-0.06666509099503665,0.43333490900496335,,-0.1194650909950366,-0.10809009099503661
Wannon,-0.09073664403778037,,-0.11203664403778035,-0.10923664403778038,0.3907633559622196,,-0.16203664403778034,-0.14953664403778033
Nicholls,-0.1714713716751221,,-0.1927713716751221,-0.1417713716751221,0.3582286283248779,,-0.19457137167512206,-0.19412137167512206
Gippsland,-0.18156039634204546,,-0.20286039634204545,-0.19356039634204547,0.30643960365795453,,-0.24636039634204543,-0.23548539634204543
Mallee,-0.1897783917837022,,-0.2110783917837022,-0.1927783917837022,0.3072216082162978,,-0.24557839178370217,-0.23695339178370217
,,,,,,,,
,,,,,,,,
Oxley,0.11623237467449488,,0.09493237467449489,0.19323237467449483,0.6932323746744948,,0.14043237467449488,0.12905737467449488
Griffith,0.11071763574764215,,0.08941763574764217,0.15941763574764212,0.6594176357476421,,0.10661763574764216,0.10231763574764216
