INNER METRO,CLARK (TAS),RAW,,,,,,,,,AliveMask,,,,,,,,"CLARK
(TAS)",FULL DISTRIBUTION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,TAS,ALP,LNP,GRN,ON,IND,OTH,Parties left,,,,,,,,,,,,ALP,LNP,GRN,ON,IND,OTH,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,DISTRIBUTED,0.006377226178,0.00885725858,0.008998974717,0.02400317075,0.01128414743,,,,,,,,,,,,,,,,,,,,,,DISTRIBUTED,0.006516227898,0.003142986248,0.007690530452,0.003902829077,,0.008047426326
,Round 2,0.2984070498,0.24373283313926855,0.10699407092273042,0.25842144462506567,0.09500513887960983,0.0,5,1.002560537,,True,True,True,True,True,False,IND,,ROUND 2,0.2976449189,0.24311034,0.1067208083,0.2577614368,0.09476249597,,,,Round 2,0.341576307,0.17983327154533682,0.13577539092666857,0.23413531801649967,0.0,0.11431866747565073,6,1.005638955,,True,True,True,True,False,True,OTH,,ROUND 2,0.3396609741,0.1788248861,0.1350140528,0.2328224427,,0.1136776444
,Eliminated,0.09500513888,,IND,ALP+LNP+GRN+ON,5,,,,,,,,,,,,,SWING,,,,,,,,,Eliminated,0.1143186675,,OTH,ALP+LNP+GRN+ON,6,,,,,,,,,,,,,SWING,,,,,,
,Weights,0.2525326677,0.19189546322125972,0.25488180883864336,0.30069006019674055,0.0,0.0,,,,,,,,,,,,ELIMINATED,INDEPENDENT,,,0.09476249597,,,,,Weights,0.2384113955,0.2061805890873974,0.15354901014002897,0.40185900531144375,0.0,0.0,,,,,,,,,,,,ELIMINATED,OTHER,,,0.1136776444,,
,,,,,,,,,,,,,,,,,,,DISTRIBUTED,0.02399190117,0.01823105513,0.02421508165,0.02856710093,,,,,,,,,,,,,,,,,,,,,,,DISTRIBUTED,0.02725487304,0.0235702902,0.01755351823,0.045939986,,
,Round 3,0.322398951,0.2619638882729714,0.13120915256933188,0.28698854555377523,0.0,0.0,3,1.002560537,,True,True,True,True,False,False,GRN,,ROUND 3,0.3215755448,0.2612948331,0.1308740447,0.2862555775,,,,,Round 3,0.3688311801,0.20340356174915278,0.15332890915808187,0.28007530401679437,0.0,0.0,3,1.005638955,,True,True,True,True,False,False,GRN,,ROUND 3,0.3667630199,0.2022630097,0.1524691425,0.2785048278,,
,Eliminated,0.1312091526,,GRN,ALP+LNP+ON,3,,,,,,,,,,,,,SWING,,,,,,,,,Eliminated,0.1533289092,,GRN,ALP+LNP+ON,3,,,,,,,,,,,,,SWING,,,,,,
,Weights,0.7145526746,0.07288016818500351,0.0,0.2125671572062602,0.0,0.0,,,,,,,,,,,,ELIMINATED,GREENS,,,0.1308740447,,,,,Weights,0.7119213493,0.1830786506863186,0.0,0.10500000000000001,0.0,0.0,,,,,,,,,,,,ELIMINATED,GREENS,,,0.1524691425,,
,,,,,,,,,,,,,,,,,,,DISTRIBUTED,0.0937558509,0.009562545107,,0.02789075656,,,,,,,,,,,,,,,,,,,,,,,DISTRIBUTED,0.1091581239,0.0280712498,,0.01609953546,,
,Round 4 (3CP),0.4161548019,0.2715264333796361,0.0,0.3148793021148806,0.0,0.0,2,1.002560537,,True,True,False,True,False,False,LNP,,3CP,0.4150919434,0.2708329555,,0.3140751011,,,,,Round 4 (3CP),0.477989304,0.23147481154901953,0.0,0.29617483947839296,0.0,0.0,2,1.005638955,,True,True,False,True,False,False,LNP,,3CP,0.4753090576,0.2301768546,,0.2945140878,,
