16,,,,,,,,ON,,,,,,,,,,,,,,,,,,,,,STATUS
,,,Exclusion,,,,,,,Exclusion,,,,,,,Exclusion,,,,,,,Exclusion,,,,,
Division,,,ALP Prefs,,LNP Prefs,,SUM,,,ALP Prefs,,LNP Prefs,,SUM,,,ALP Prefs,,LNP Prefs,,SUM,,,ALP Prefs,,LNP Prefs,,SUM,
,Votes,%,Votes,%,Votes,%,,Votes at elim,%,Votes,%,Votes,%,,Votes at elim,%,Votes,%,Votes,%,,Votes at elim,%,Votes,%,Votes,%,,
Herbert,10398.0,,,0,,0,0,7014.0,,,0,,0,0,,0.0,,#DIV/0!,,#DIV/0!,#DIV/0!,#REF!,4.0,,#REF!,,#REF!,#REF!,
Hinkler,9719.0,,,0,,0,0,22498.0,,,0,,0,0,3201.0,1.0,,0,,0,#REF!,#REF!,2.0,,#REF!,,#REF!,#REF!,
Longman,13373.0,,,0,,0,0,20362.0,,,0,,0,0,,0.0,,#DIV/0!,,#DIV/0!,#DIV/0!,#REF!,2.0,,#REF!,,#REF!,#REF!,
Groom,6513.0,,,0,,0,0,14381.0,,,0,,0,0,,2.0,,#DIV/0!,,#DIV/0!,#DIV/0!,#REF!,2.0,,#REF!,,#REF!,#REF!,
McPherson,10894.0,,,0,,0,0,9464.0,,,0,,0,0,23878.0,2.0,,0,,0,#REF!,#REF!,6.0,,#REF!,,#REF!,#REF!,
Moncrieff,17289.0,,,0,,0,0,12289.0,,,0,,0,0,9995.0,2.0,,0,,0,#REF!,#REF!,3.0,,#REF!,,#REF!,#REF!,
Dawson,7566.0,,,0,,0,0,19772.0,,,0,,0,0,,0.0,,#DIV/0!,,#DIV/0!,#DIV/0!,#REF!,,,#REF!,,#REF!,#REF!,
Kennedy,6673.0,,,0,,0,0,9593.0,,,0,,0,0,,0.0,,#DIV/0!,,#DIV/0!,#DIV/0!,#REF!,,,#REF!,,#REF!,#REF!,
Leichhardt,11827.0,,,0,,0,0,18255.0,,,0,,0,0,1699.0,1.0,,0,,0,#REF!,#REF!,4.0,,#REF!,,#REF!,#REF!,
Flynn,6927.0,,,0,,0,0,24902.0,,,0,,0,0,5023.0,2.0,,0,,0,#REF!,#REF!,,,#REF!,,#REF!,#REF!,
Fairfax,11978.0,,,0,,0,0,12805.0,,,0,,0,0,26002.0,2.0,,0,,0,#REF!,#REF!,2.0,,#REF!,,#REF!,#REF!,
Fisher,11959.0,,,0,,0,0,13923.0,,,0,,0,0,32519.0,1.0,,0,,0,#REF!,#REF!,3.0,,#REF!,,#REF!,#REF!,
Maranoa,5601.0,,,0,,0,0,,,,#DIV/0!,,#DIV/0!,#DIV/0!,,0.0,,#DIV/0!,,#DIV/0!,#DIV/0!,#REF!,4.0,,#REF!,,#REF!,#REF!,
Wide Bay,11902.0,,,0,,0,0,21655.0,,,0,,0,0,6066.0,1.0,,0,,0,#REF!,#REF!,2.0,,#REF!,,#REF!,#REF!,
Wright,13840.0,,,0,,0,0,31910.0,,,0,,0,0,,0.0,,#DIV/0!,,#DIV/0!,#DIV/0!,#REF!,4.0,,#REF!,,#REF!,#REF!,
Cowan,16332.0,,,0,,0,0,8349.0,,,0,,0,0,3941.0,1.0,,0,,0,#REF!,#REF!,3.0,,#REF!,,#REF!,#REF!,
Curtin,9021.0,,,0,,0,0,3079.0,,,0,,0,0,,1.0,,#DIV/0!,,#DIV/0!,#DIV/0!,#REF!,1.0,,#REF!,,#REF!,#REF!,
Perth,25654.0,,,0,,0,0,6316.0,,,0,,0,0,,0.0,,#DIV/0!,,#DIV/0!,#DIV/0!,#REF!,,,#REF!,,#REF!,#REF!,
Fremantle,12788.0,,,0,,0,0,6604.0,,,0,,0,0,,1.0,,#DIV/0!,,#DIV/0!,#DIV/0!,#REF!,2.0,,#REF!,,#REF!,#REF!,
