,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ALP,,,,,,,LNP,,,,,,,GRN,,,,,,,ON,,,,,,,IND,,,,,,,OTH,,,,,,
Division,Primary,Primary PVI,2nd Round,3rd Round,3CP,2CP,2PP,Primary,Primary PVI,2nd Round,3rd Round,3CP,2CP,2PP,Primary,Primary PVI,2nd Round,3rd Round,3CP,2CP,2PP,Primary,Primary PVI,2nd Round,3rd Round,3CP,2CP,2PP,Primary,Primary PVI,2nd Round,3rd Round,3CP,2CP,2PP,Primary,Primary PVI,2nd Round,3rd Round,3CP,2CP,2PP
Fraser,0.4260470656,0.08414706561,,,,0.5922655327,0.7202303963,0.1686564248,-0.1401435752,,,,,0.2797696037,0.2528311016,0.1146561016,,,,0.4077344673,,0.04778210986,-0.01731789014,,,,,,0,,,,,,,0.1046832981,0.02720829813,,,,,
Gellibrand,0.4661888557,0.1160138557,,,,0.6510237448,0.6510237448,0.2617725899,-0.06355241013,,,,0.3489762552,0.3489762552,0.1704625387,0.04466253874,,,,,,0.05978973784,-0.007785262162,,,,,,0,,,,,,,0.04178627783,-0.02078872217,,,,,
Maribyrnong,0.4142557803,0.07550578028,,,,0.6264557497,0.6264557497,0.3046305206,-0.03254447939,,,,0.3735442503,0.3735442503,0.2121819833,0.07878198333,,,,,,0.06893171578,-0.002593284216,,,,,,0,,,,,,,0,-0.0506,,,,,
Aston,0.3725659769,0.02004097693,,,,0.5342788737,0.5342788737,0.3767171299,0.06169212988,,,,0.4657211263,0.4657211263,0.1153310453,-0.005068954656,,,,,,0.03402853007,-0.02722146993,,,,,,0.04135677157,-0.0313,,,,,,0.0600005462,-0.0118994538,,,,,
Deakin,0.3478317331,0.002506733142,,,,0.5282277265,0.5282277265,0.3872665726,0.06629157259,,,,0.4717722735,0.4717722735,0.1191096643,0.002709664349,,,,,,0.0263447237,-0.0350302763,,,,,,0.07150216004,-0.0012,,,,,,0.04794514618,-0.02155485382,,,,,
Menzies,0.3473636114,-0.0006363885589,,,,0.5107740108,0.5107740108,0.4064059216,0.07925592159,,,,0.4892259892,0.4892259892,0.1096408663,-0.007634133693,,,,,,0.01966553961,-0.04075946039,,,,,,0.06366627068,-0.009,,,,,,0.05325779037,-0.009417209632,,,,,
Calwell,0.3052030457,0.0003030456853,,,,0.5423568439,0.6470634072,0.1570709769,-0.1510790231,,,,,0.3529365928,0.08282126636,-0.03555373364,,,,,,0.0375812628,-0.0148187372,,,,,,0.1195,0.0481,,,,0.4576431561,,0.1111296643,0.04005466426,,,,,
Jagajaga,0.4256023907,0.08042739066,,,,0.6287905382,0.6287905382,0.2945481057,-0.03387689426,,,,0.3712094618,0.3712094618,0.1560230065,0.03662300651,,,,,,0.03867721582,-0.02562278418,,,,,,0.0601715587,-0.0125,,,,,,0.02497772257,-0.03412227743,,,,,
Scullin,0.4489926977,0.1116176977,,,,0.6429333471,0.6429333471,0.2051582164,-0.1196167836,,,,0.3570666529,0.3570666529,0.09415298565,-0.02437201435,,,,,,0.0663006888,0.005525688798,,,,,,0,,,,,,,0.1853954115,0.09539541147,,,,,
Bruce,0.4530841873,0.09980918726,,,,0.6461632601,0.6461632601,0.2298025463,-0.07634745374,,,,0.3538367399,0.3538367399,0.1206732789,-0.007351721099,,,,,,0.08156611321,0.01249111321,,,,,,0,,,,,,,0.1148738744,0.03994887437,,,,,
Dunkley,0.3828122853,0.04758728531,,,,0.5707926098,0.5707926098,0.3232085444,-0.006116455606,,,,0.4292073902,0.4292073902,0.1158641031,-0.008685896896,,,,,,0.06864460342,-0.00143039658,,,,,,0.02959577177,-0.0431,,,,,,0.079874692,0.014999692,,,,,
Holt,0.4503093698,0.09910936977,,,,0.6402845799,0.6402845799,0.2503174315,-0.06630756847,,,,0.3597154201,0.3597154201,0.1120785215,-0.01669647853,,,,,,0.08721809057,0.01719309057,,,,,,0,,,,,,,0.1000765867,0.03525158665,,,,,
Isaacs,0.4941163421,0.1368913421,,,,0.6434031854,0.6434031854,0.2834139082,-0.04148609183,,,,0.3565968146,0.3565968146,0.1405052643,0.01343026433,,,,,,0.04611715551,-0.01825784449,,,,,,0,,,,,,,0.03584732994,-0.02202767006,,,,,
Gorton,0.4305210262,0.08552102618,,,,0.6028387552,0.6028387552,0.2916953187,-0.0405796813,,,,0.3971612448,0.3971612448,0.1079432249,-0.0186317751,,,,,,0.06291986247,0.00496986247,,,,,,0,,,,,,,0.1069205678,0.03727056775,,,,,
Lalor,0.4268965795,0.08757157951,,,,0.6321360944,0.6321360944,0.2605555779,-0.07019442206,,,,0.3678639056,0.3678639056,0.1529047984,0.01842979836,,,,,,0.07036380484,0.002313804843,,,,,,0.02116151646,-0.04491348354,,,,,,0.0681177229,0.007592722896,,,,,
La Trobe,0.3212665753,-0.03413342469,,,,0.4793954718,0.4793954718,0.3913123203,0.07853732025,,,,0.5206045282,0.5206045282,0.1291860488,0.002061048756,,,,,,0.07678202629,0.009807026289,,,,,,0,,,,,,,0.0814530294,0.0122780294,,,,,
Ballarat,0.4235029654,0.08885296537,,,,0.6066481729,0.6066481729,0.2858523053,-0.04579769466,,,,0.3933518271,0.3933518271,0.1433326956,0.02185769562,,,,,,0.07680313756,0.006203137555,,,,,,0.02806581213,-0.0446,,,,,,0.04244308399,-0.02360691601,,,,,
Bendigo,0.3355093465,0.01625934654,,,,0.5139893263,0.5139893263,0.4022154065,0.04196540655,,,,0.4860106737,0.4860106737,0.1132933772,-0.002781622771,,,,,,0.04935423056,-0.009520769436,,,,,,0.01051427071,-0.0622,,,,,,0.08911336841,0.01473836841,,,,,
Corangamite,0.3731397808,0.03521478081,,,,0.5804749087,0.5804749087,0.3411651605,0.01301516055,,,,0.4195250913,0.4195250913,0.1434820227,0.02380702269,,,,,,0.03213805037,-0.03018694963,,,,,,0.04388579119,-0.0288,,,,,,0.06618919439,-0.006210805614,,,,,
Corio,0.428397761,0.08539776098,,,,0.6323133171,0.6323133171,0.2487865949,-0.07876340506,,,,0.3676866829,0.3676866829,0.1586816297,0.03383162973,,,,,,0.09936766854,0.02391766854,,,,,,0.02911264935,-0.03993735065,,,,,,0.03565369646,-0.02364630354,,,,,
Hawke,0.3912557674,0.04460576736,,,,0.5763025323,0.5763025323,0.3022722675,-0.03532773245,,,,0.4236974677,0.4236974677,0.0980378936,-0.0262621064,,,,,,0.09666046987,0.02606046987,,,,,,0,,,,,,,0.1117736016,0.05947360163,,,,,
Casey,0.242555231,-0.09609476899,,,,0.4703430065,0.4703430065,0.4087049312,0.07005493123,,,,0.5296569935,0.5296569935,0.1094220526,-0.007202947387,,,,,,0.05066874056,-0.01423125944,,,,,,0.1050813431,0.03108134309,,,,,,0.0835677015,0.0171927015,,,,,
Flinders,0.2229492791,-0.1162007209,,,,,0.4521810256,0.4122325383,0.08958253831,,,,0.5228718359,0.5478189744,0.06356429957,-0.05056070043,,,,,,0.05300070482,-0.01239929518,,,,,,0.2208957302,0.1482,,,,0.4771281641,,0.02735744803,-0.00754255197,,,,,
