division,division_key,state,classification,review_priority,priority_reason,override_review_candidate,candidate_k_to_test,winner_changed,final_two_changed,elimination_order_changed,current_winner,unshrunk_winner,actual_winner,current_final_two,unshrunk_final_two,actual_final_two,current_matches_actual_winner,unshrunk_matches_actual_winner,current_matches_actual_final_two,unshrunk_matches_actual_final_two,winner_pct_change_pp,final_distribution_change_pp,seat_flow_scenarios,encountered_scenarios,max_flow_total_variation_pp,max_recipient_shift_pp,max_estimated_round_effect_pp,most_distinctive_scenario,position_conflicts,current_elimination_order,unshrunk_elimination_order
Brand,BRAND,WA,Outer metro,Low,Shrinkage has limited effect on the reconstructed result.,False,,False,False,False,ALP,ALP,ALP,ALP+ON,ALP+ON,ALP+ON,True,True,True,True,0.5747778252947477,0.574777825294745,3,1,9.981123922773898,6.183739312660041,0.7979729698307845,OTH|ALP+GRN+LNP+ON,0,OTH>LNP>GRN,OTH>LNP>GRN
Holt,HOLT,VIC,Outer metro,Low,Shrinkage has limited effect on the reconstructed result.,False,,False,False,False,ALP,ALP,ALP,ALP+ON,ALP+ON,ALP+ON,True,True,True,True,0.5603862095562961,0.5603862095562989,3,1,7.47257365923282,5.223646376446012,0.7837164989193264,OTH|ALP+GRN+LNP+ON,0,OTH>GRN>LNP,OTH>GRN>LNP
Wide Bay,WIDE BAY,QLD,Rural,Low,Shrinkage has limited effect on the reconstructed result.,False,,False,False,False,LNP,LNP,LNP,LNP+ON,LNP+ON,LNP+ON,True,True,True,True,0.795501651500774,0.7955016515007712,4,3,7.048947148576085,7.048947148576085,0.7765711305374569,OTH|ALP+GRN+LNP+ON,1,IND>OTH>GRN>ALP,IND>OTH>GRN>ALP
Gorton,GORTON,VIC,Outer metro,Low,Shrinkage has limited effect on the reconstructed result.,False,,False,False,False,ALP,ALP,ALP,ALP+ON,ALP+ON,ALP+ON,True,True,True,True,0.6629850139547644,0.6629850139547616,3,1,6.627909891094529,6.62790989109453,0.7100129163733501,OTH|ALP+GRN+LNP+ON,0,OTH>GRN>LNP,OTH>GRN>LNP
Fadden,FADDEN,QLD,Outer metro,Low,Shrinkage has limited effect on the reconstructed result.,False,,False,False,False,LNP,LNP,LNP,LNP+ON,LNP+ON,LNP+ON,True,True,True,True,0.5116796055245953,0.5116796055245926,4,3,6.690396396785328,6.690396396785325,0.7049212294328278,IND|ALP+GRN+LNP+ON+OTH,0,IND>OTH>GRN>ALP,IND>OTH>GRN>ALP
Braddon,BRADDON,TAS,Rural,Low,Shrinkage has limited effect on the reconstructed result.,False,,False,False,False,ON,ON,ON,ALP+ON,ALP+ON,ALP+ON,True,True,True,True,0.045975143732435164,0.04597514373243239,4,3,9.600344269557398,9.600344269557404,0.6893731566470428,ON|ALP+LNP,1,OTH>IND>GRN>LNP,OTH>IND>GRN>LNP
Longman,LONGMAN,QLD,Provincial,Low,Shrinkage has limited effect on the reconstructed result.,False,,False,False,False,ON,ON,ON,ALP+ON,ALP+ON,ALP+ON,True,True,True,True,0.5617307341625022,0.5617307341625022,3,2,7.441895819918365,7.441895819918365,0.6799133079525281,OTH|ALP+GRN+LNP+ON,0,OTH>GRN>LNP,OTH>GRN>LNP
Forde,FORDE,QLD,Outer metro,Low,Shrinkage has limited effect on the reconstructed result.,False,,False,False,False,ON,ON,ON,ALP+ON,ALP+ON,ALP+ON,True,True,True,True,0.6838905671370021,0.6838905671370049,4,3,5.874500775393169,4.216773034714066,0.6559145295202504,OTH|ALP+GRN+LNP+ON,0,IND>OTH>GRN>LNP,IND>OTH>GRN>LNP
Pearce,PEARCE,WA,Outer metro,Low,Shrinkage has limited effect on the reconstructed result.,False,,False,False,False,ALP,ALP,ALP,ALP+ON,ALP+ON,ALP+ON,True,True,True,True,0.37266432644323944,0.37266432644323944,3,1,6.258685592544746,6.2344847908027194,0.5960172769712837,OTH|ALP+GRN+LNP+ON,0,OTH>GRN>LNP,OTH>GRN>LNP
Bowman,BOWMAN,QLD,Outer metro,Low,Shrinkage has limited effect on the reconstructed result.,False,,False,False,False,LNP,LNP,LNP,ALP+LNP,ALP+LNP,ALP+LNP,True,True,True,True,0.3099184215469841,0.3099184215469841,4,1,7.694767343313716,7.187901332122568,0.5520897438301122,IND|ALP+GRN+LNP+ON+OTH,0,OTH>GRN>ON,OTH>GRN>ON
