division,round,eliminated,alive_after,basis,reliability,reliability_reason,pooled_evidence_seats,pooled_mean_variance,class_evidence_seats,nearest_distance,position_conflict,coverage,anchor_weight
Macnamara,2,ON,ALP+GRN+LNP,seat_pref_flow_shrunk,Medium,Seat-specific historical flow from one election.,70,0.002627378720211702,23,nan,False,1.0,0.0
Macnamara,3,GRN,ALP+LNP,seat_pref_flow_shrunk,Medium,Seat-specific historical flow from one election.,73,0.003794586526247348,23,nan,False,1.0,0.0
Cooper,1,LNP,ALP+GRN+ON+OTH,posterior_nearest_field,Low,"Nearest-field evidence at distance 2, based on 1 seats.",1,0.0,0,2.0,False,1.0,0.0
Cooper,2,OTH,ALP+GRN+ON,posterior_nearest_field,Medium,"Nearest-field evidence at distance 1, based on 73 seats.",73,0.0,0,1.0,False,0.8980662785,0.0
Cooper,3,ON,ALP+GRN,posterior_nearest_field,Medium,"Nearest-field evidence at distance 1, based on 70 seats.",70,0.0,0,1.0,False,0.2933182333212004,0.0
Melbourne,1,OTH,ALP+GRN+IND+LNP+ON,seat_pref_flow_shrunk,Medium,Seat-specific historical flow from one election.,55,0.007226873927393435,17,nan,False,1.0,0.0
Melbourne,2,IND,ALP+GRN+LNP+ON,matrix_posterior_explicit_blend,High,Exact pooled scenario based on 16 seats.,16,0.00456985146000111,4,nan,False,1.0,0.0
Melbourne,3,LNP,ALP+GRN+ON,posterior_nearest_field,Low,"Nearest-field evidence at distance 1, based on 1 seats.",1,0.0,0,1.0,False,1.0,0.0
Melbourne,4,ON,ALP+GRN,posterior_nearest_field,Medium,"Nearest-field evidence at distance 1, based on 70 seats.",70,0.0,0,1.0,False,0.25914634144814025,0.0
Wills,1,LNP,ALP+GRN+ON+OTH,posterior_nearest_field,Low,"Nearest-field evidence at distance 2, based on 1 seats.",1,0.0,0,2.0,False,1.0,0.0
Wills,2,OTH,ALP+GRN+ON,posterior_nearest_field,Medium,"Nearest-field evidence at distance 1, based on 73 seats.",73,0.0,0,1.0,False,0.9101286991908987,0.0
Wills,3,ON,ALP+GRN,posterior_nearest_field,Medium,"Nearest-field evidence at distance 1, based on 70 seats.",70,0.0,0,1.0,False,0.25147679322514765,0.0
Fraser,1,LNP,ALP+GRN+ON+OTH,posterior_nearest_field,Low,"Nearest-field evidence at distance 2, based on 1 seats.",1,0.0,0,2.0,False,1.0,0.0
Fraser,2,OTH,ALP+GRN+ON,posterior_nearest_field,Medium,"Nearest-field evidence at distance 1, based on 73 seats.",73,0.0,0,1.0,False,0.8778906938000001,0.0
Fraser,3,ON,ALP+GRN,posterior_nearest_field,Medium,"Nearest-field evidence at distance 1, based on 70 seats.",70,0.0,0,1.0,False,0.28229885060000004,0.0
Gellibrand,1,OTH,ALP+GRN+LNP+ON,seat_pref_flow_shrunk,Medium,Seat-specific historical flow from one election.,73,0.00802382233899586,16,nan,False,1.0,0.0
Gellibrand,2,LNP,ALP+GRN+ON,posterior_nearest_field,Low,"Nearest-field evidence at distance 1, based on 1 seats.",1,0.0,0,1.0,False,0.0,0.0
Gellibrand,3,GRN,ALP+ON,posterior_nearest_field,Medium,"Nearest-field evidence at distance 1, based on 21 seats.",21,0.0,0,1.0,False,0.8293449953,0.0
Maribyrnong,1,OTH,ALP+GRN+LNP+ON,posterior_shrunk,High,Exact pooled scenario based on 73 seats.,73,0.00802382233899586,16,nan,False,0.0,0.0
Maribyrnong,2,LNP,ALP+GRN+ON,posterior_nearest_field,Low,"Nearest-field evidence at distance 1, based on 1 seats.",1,0.0,0,1.0,False,0.0,0.0
Maribyrnong,3,GRN,ALP+ON,posterior_nearest_field,Medium,"Nearest-field evidence at distance 1, based on 21 seats.",21,0.0,0,1.0,False,0.8995228853,0.0
Aston,1,IND,ALP+GRN+LNP+ON+OTH,matrix_posterior_explicit_blend,High,Exact pooled scenario based on 26 seats.,26,0.005372962514514995,11,nan,False,1.0,0.0
Aston,2,OTH,ALP+GRN+LNP+ON,matrix_posterior_explicit_blend,High,Exact pooled scenario based on 73 seats.,73,0.00802382233899586,30,nan,False,0.7844561866956891,0.0
Aston,3,GRN,ALP+LNP+ON,matrix_posterior_explicit_blend,High,Exact pooled scenario based on 21 seats.,21,0.003235015131739608,6,nan,False,1.0,0.0
Aston,4,ON,ALP+LNP,matrix_posterior_explicit_blend,High,Exact pooled scenario based on 25 seats.,25,0.006225577806918004,6,nan,False,0.7566961341,0.0
Deakin,1,OTH,ALP+GRN+IND+LNP+ON,seat_pref_flow_shrunk,Medium,Seat-specific historical flow from one election.,55,0.007226873927393435,11,nan,False,1.0,0.0
Deakin,2,IND,ALP+GRN+LNP+ON,matrix_posterior_explicit_blend,High,Exact pooled scenario based on 16 seats.,16,0.00456985146000111,3,nan,False,1.0,0.0
Deakin,3,GRN,ALP+LNP+ON,matrix_posterior_explicit_blend,High,Exact pooled scenario based on 21 seats.,21,0.003235015131739608,6,nan,False,1.0,0.0
Deakin,4,ON,ALP+LNP,matrix_posterior_explicit_blend,High,Exact pooled scenario based on 25 seats.,25,0.006225577806918004,6,nan,False,0.6272844748025458,0.0
