stage,division_key,actual_winner,actual_runner_up,actual_final_two,actual_winner_share,division,winner,runner_up,final_two,winner_pct,elimination_order,winner_match,runner_up_match,final_two_match,absolute_winner_error_pp
1_pass_through_original_fallback,MACARTHUR,ALP,ON,ALP+ON,0.5908059999999999,Macarthur,ALP,ON,ALP+ON,0.5908062028919843,OTH>LNP>GRN,True,True,True,2.028919843244381e-05
1_pass_through_original_fallback,MACKELLAR,IND,LNP,IND+LNP,0.553434,Mackellar,IND,LNP,IND+LNP,0.5534340084822501,OTH>ALP>GRN>ON,True,True,True,8.482250124508539e-07
1_pass_through_original_fallback,MACNAMARA,ALP,LNP,ALP+LNP,0.6336229999999999,Macnamara,ALP,LNP,ALP+LNP,0.6354002471651481,OTH>ON>GRN,True,True,True,0.17772471651481547
1_pass_through_original_fallback,MACQUARIE,ALP,ON,ALP+ON,0.542699,Macquarie,ALP,ON,ALP+ON,0.5313459106549351,OTH>GRN>LNP,True,True,True,1.135308934506496
1_pass_through_original_fallback,MAKIN,ALP,ON,ALP+ON,0.604618,Makin,ALP,ON,ALP+ON,0.6046182542753366,OTH>LNP>GRN,True,True,True,2.5427533656419143e-05
1_pass_through_original_fallback,MALLEE,LNP,ON,LNP+ON,0.5508310000000001,Mallee,LNP,ON,LNP+ON,0.5299254886427053,GRN>ALP>IND>OTH,True,True,True,2.0905511357294793
1_pass_through_original_fallback,MARANOA,LNP,ON,LNP+ON,0.5569080000000001,Maranoa,LNP,ON,LNP+ON,0.5569967496972485,GRN>OTH>ALP,True,True,True,0.008874969724848025
1_pass_through_original_fallback,MARIBYRNONG,ALP,ON,ALP+ON,0.6027170000000001,Maribyrnong,ALP,ON,ALP+ON,0.6031708864649199,OTH>LNP>GRN,True,True,True,0.04538864649198393
1_pass_through_original_fallback,MAYO,OTH,ALP,ALP+OTH,0.6541849999999999,Mayo,OTH,ON,ON+OTH,0.6684528360913845,LNP>GRN>ALP,True,False,False,1.42678360913846
1_pass_through_original_fallback,MCEWEN,ALP,ON,ALP+ON,0.524378,McEwen,ALP,ON,ALP+ON,0.5185217491129226,OTH>GRN>LNP,True,True,True,0.5856250887077419
1_pass_through_original_fallback,MCMAHON,ALP,ON,ALP+ON,0.56845,McMahon,ALP,ON,ALP+ON,0.5679711999552184,OTH>IND>GRN>LNP,True,True,True,0.04788000447816243
1_pass_through_original_fallback,MCPHERSON,LNP,ALP,ALP+LNP,0.57182,McPherson,LNP,ALP,ALP+LNP,0.5767981769051319,OTH>GRN>IND>ON,True,True,True,0.49781769051319147
1_pass_through_original_fallback,MELBOURNE,GRN,ALP,ALP+GRN,0.52065,Melbourne,GRN,ALP,ALP+GRN,0.5207407524579373,OTH>IND>LNP>ON,True,True,True,0.009075245793732645
1_pass_through_original_fallback,MENZIES,LNP,ALP,ALP+LNP,0.505668,Menzies,LNP,ALP,ALP+LNP,0.5053334061716661,OTH>IND>GRN>ON,True,True,True,0.03345938283338956
1_pass_through_original_fallback,MITCHELL,LNP,ALP,ALP+LNP,0.569098,Mitchell,LNP,ALP,ALP+LNP,0.5691191178174285,OTH>GRN>ON,True,True,True,0.0021117817428528696
1_pass_through_original_fallback,MONASH,IND,LNP,IND+LNP,0.50139,Monash,ON,IND,IND+ON,0.501037685947545,OTH>GRN>ALP>LNP,False,False,False,0.03523140524549495
1_pass_through_original_fallback,MONCRIEFF,LNP,ALP,ALP+LNP,0.601565,Moncrieff,LNP,ON,LNP+ON,0.5704866931739566,IND>OTH>GRN>ALP,True,False,False,3.10783068260434
1_pass_through_original_fallback,MOORE,LNP,ALP,ALP+LNP,0.508176,Moore,LNP,ALP,ALP+LNP,0.5081979794438198,OTH>GRN>IND>ON,True,True,True,0.0021979443819875044
1_pass_through_original_fallback,MORETON,ALP,ON,ALP+ON,0.632397,Moreton,ALP,ON,ALP+ON,0.6323965340806427,OTH>LNP>GRN,True,True,True,4.6591935731754575e-05
1_pass_through_original_fallback,NEW ENGLAND,LNP,ON,LNP+ON,0.580524,New England,LNP,ON,LNP+ON,0.5849012641315131,IND>OTH>GRN>ALP,True,True,True,0.437726413151307
1_pass_through_original_fallback,NEWCASTLE,ALP,GRN,ALP+GRN,0.585974,Newcastle,ALP,GRN,ALP+GRN,0.5866582874305579,OTH>LNP>ON,True,True,True,0.06842874305579283
1_pass_through_original_fallback,NICHOLLS,LNP,IND,IND+LNP,0.604812,Nicholls,LNP,IND,IND+LNP,0.5730023429317911,GRN>OTH>ALP>ON,True,True,True,3.180965706820893
1_pass_through_original_fallback,O'CONNOR,LNP,ON,LNP+ON,0.509127,O'Connor,LNP,ON,LNP+ON,0.5101231596602485,GRN>OTH>ALP,True,True,True,0.09961596602484635
1_pass_through_original_fallback,OXLEY,ALP,ON,ALP+ON,0.6371370000000001,Oxley,ALP,ON,ALP+ON,0.6393387639667425,OTH>LNP>GRN,True,True,True,0.22017639667424316
1_pass_through_original_fallback,PAGE,LNP,ALP,ALP+LNP,0.615702,Page,LNP,ALP,ALP+LNP,0.6130611290252481,IND>OTH>GRN>ON,True,True,True,0.2640870974751852
1_pass_through_original_fallback,PARKES,ON,LNP,LNP+ON,0.518501,Parkes,ON,LNP,LNP+ON,0.5185007907135473,IND>GRN>ALP>OTH,True,True,True,2.0928645272366708e-05
1_pass_through_original_fallback,PARRAMATTA,ALP,LNP,ALP+LNP,0.600432,Parramatta,ALP,LNP,ALP+LNP,0.6036205863566747,OTH>GRN>ON,True,True,True,0.31885863566747386
1_pass_through_original_fallback,PATERSON,ALP,ON,ALP+ON,0.531524,Paterson,ALP,ON,ALP+ON,0.5283816101686907,OTH>GRN>IND>LNP,True,True,True,0.31423898313093224
1_pass_through_original_fallback,PEARCE,ALP,ON,ALP+ON,0.531457,Pearce,ALP,ON,ALP+ON,0.5373240407276729,OTH>GRN>LNP,True,True,True,0.5867040727672967
1_pass_through_original_fallback,PERTH,ALP,ON,ALP+ON,0.632414,Perth,ALP,ON,ALP+ON,0.6326986734915869,OTH>LNP>GRN,True,True,True,0.028467349158689537
1_pass_through_original_fallback,PETRIE,LNP,ALP,ALP+LNP,0.520378,Petrie,LNP,ALP,ALP+LNP,0.5234104622730307,OTH>GRN>ON,True,True,True,0.3032462273030667
1_pass_through_original_fallback,RANKIN,ALP,ON,ALP+ON,0.606254,Rankin,ALP,ON,ALP+ON,0.6062538110303927,LNP>OTH>GRN,True,True,True,1.8896960729541945e-05
1_pass_through_original_fallback,REID,ALP,LNP,ALP+LNP,0.596772,Reid,ALP,LNP,ALP+LNP,0.603337978635297,IND>OTH>GRN>ON,True,True,True,0.6565978635297065
1_pass_through_original_fallback,RICHMOND,GRN,ON,GRN+ON,0.646215,Richmond,GRN,ON,GRN+ON,0.6468211545985927,OTH>LNP>ALP,True,True,True,0.06061545985927008
1_pass_through_original_fallback,RIVERINA,LNP,IND,IND+LNP,0.617066,Riverina,ON,IND,IND+ON,0.5898130847380274,GRN>OTH>ALP>LNP,False,True,False,2.72529152619726
1_pass_through_original_fallback,ROBERTSON,ALP,ON,ALP+ON,0.5484559999999999,Robertson,ALP,ON,ALP+ON,0.5307181819068142,IND>OTH>GRN>LNP,True,True,True,1.7737818093185753
1_pass_through_original_fallback,RYAN,GRN,LNP,GRN+LNP,0.5444559999999999,Ryan,GRN,LNP,GRN+LNP,0.5444557840733005,OTH>ON>ALP,True,True,True,2.159266994095077e-05
1_pass_through_original_fallback,SCULLIN,ALP,ON,ALP+ON,0.569373,Scullin,ALP,ON,ALP+ON,0.5693727977201994,LNP>GRN>OTH,True,True,True,2.0227980057629935e-05
1_pass_through_original_fallback,SHORTLAND,ALP,ON,ALP+ON,0.549604,Shortland,ALP,ON,ALP+ON,0.5620413867729797,IND>OTH>GRN>LNP,True,True,True,1.2437386772979675
1_pass_through_original_fallback,SOLOMON,ALP,LNP,ALP+LNP,0.510367,Solomon,ALP,LNP,ALP+LNP,0.5080449808848034,OTH>GRN>IND>ON,True,True,True,0.2322019115196583
1_pass_through_original_fallback,SPENCE,ALP,ON,ALP+ON,0.586643,Spence,ALP,ON,ALP+ON,0.586643162663963,IND>LNP>OTH>GRN,True,True,True,1.6266396296593655e-05
1_pass_through_original_fallback,STURT,ALP,LNP,ALP+LNP,0.547999,Sturt,ALP,LNP,ALP+LNP,0.5467835869227479,OTH>IND>ON>GRN,True,True,True,0.12154130772521476
1_pass_through_original_fallback,SWAN,ALP,ON,ALP+ON,0.610995,Swan,ALP,ON,ALP+ON,0.6109954682113711,OTH>LNP>GRN,True,True,True,4.6821137111852096e-05
1_pass_through_original_fallback,SYDNEY,ALP,GRN,ALP+GRN,0.6356,Sydney,ALP,GRN,ALP+GRN,0.6356002327399555,OTH>LNP>ON,True,True,True,2.3273995541917003e-05
