State,DivisionID,Electorate,EliminatedModelCategory,FinishPosition,CategoryExitCount,AliveModelCategoriesAfter,RecipientModelCategory,ObservedExitShare,PassThroughShare,ShareDelta,AbsoluteShareDelta
NSW,113,Cowper,GRN,6,6,ALP>LNP>ON>IND>OTH,LNP,0.05264231789430728,0.05264231789430728,0.0,0.0
NSW,113,Cowper,GRN,6,6,ALP>LNP>ON>IND>OTH,ON,0.03101407875943685,0.03101407875943685,0.0,0.0
NSW,113,Cowper,GRN,6,6,ALP>LNP>ON>IND>OTH,OTH,0.16119159355233625,0.16119159355233625,0.0,0.0
NSW,113,Cowper,ON,4,8,ALP>LNP>IND,ALP,0.10276160060116475,0.10276160060116475,0.0,0.0
NSW,113,Cowper,ON,4,8,ALP>LNP>IND,IND,0.26657899680631225,0.26657899680631225,0.0,0.0
NSW,113,Cowper,ON,4,8,ALP>LNP>IND,LNP,0.6306594025925231,0.6306594025925231,0.0,0.0
NSW,113,Cowper,OTH,5,7,ALP>LNP>ON>IND,ALP,0.2700610391543844,0.19323457163388036,-0.07682646752050404,0.07682646752050404
NSW,113,Cowper,OTH,5,7,ALP>LNP>ON>IND,IND,0.32097662647015035,0.26285552255905453,-0.05812110391109582,0.05812110391109582
NSW,113,Cowper,OTH,5,7,ALP>LNP>ON>IND,LNP,0.21929432782492184,0.22948093910741324,0.010186611282491403,0.010186611282491403
NSW,113,Cowper,OTH,5,7,ALP>LNP>ON>IND,ON,0.1896680065505434,0.31442896669965187,0.12476096014910848,0.12476096014910848
NSW,114,Cunningham,GRN,3,4,ALP>LNP,ALP,0.8520972909991261,0.8520972909991261,0.0,0.0
NSW,114,Cunningham,GRN,3,4,ALP>LNP,LNP,0.14790270900087388,0.14790270900087388,0.0,0.0
NSW,114,Cunningham,ON,4,3,ALP>LNP>GRN,ALP,0.19990089197224975,0.19990089197224975,0.0,0.0
NSW,114,Cunningham,ON,4,3,ALP>LNP>GRN,GRN,0.20089197224975222,0.20089197224975222,0.0,0.0
NSW,114,Cunningham,ON,4,3,ALP>LNP>GRN,LNP,0.599207135777998,0.599207135777998,0.0,0.0
NSW,114,Cunningham,OTH,5,2,ALP>LNP>GRN>ON,ALP,0.18421824581988852,0.20063761955366632,0.016419373733777803,0.016419373733777803
NSW,114,Cunningham,OTH,5,2,ALP>LNP>GRN>ON,GRN,0.4878263420357876,0.393836344314559,-0.09398999772122862,0.09398999772122862
NSW,114,Cunningham,OTH,5,2,ALP>LNP>GRN>ON,LNP,0.10208272220592549,0.12391073326248672,0.021828011056561236,0.021828011056561236
NSW,114,Cunningham,OTH,5,2,ALP>LNP>GRN>ON,ON,0.22587268993839835,0.281615302869288,0.05574261293088964,0.05574261293088964
NSW,115,Dobell,GRN,3,6,ALP>LNP,ALP,0.7429036907074378,0.7429036907074378,0.0,0.0
NSW,115,Dobell,GRN,3,6,ALP>LNP,LNP,0.25709630929256216,0.25709630929256216,0.0,0.0
NSW,115,Dobell,ON,4,5,ALP>LNP>GRN,ALP,0.20122139764996907,0.20122139764996907,0.0,0.0
NSW,115,Dobell,ON,4,5,ALP>LNP>GRN,GRN,0.19882498453927025,0.19882498453927025,0.0,0.0
NSW,115,Dobell,ON,4,5,ALP>LNP>GRN,LNP,0.5999536178107606,0.5999536178107606,0.0,0.0
NSW,115,Dobell,OTH,5,4,ALP>LNP>GRN>ON,ALP,0.30253042921204354,0.25552963135790946,-0.04700079785413408,0.04700079785413408
